video_name,most_common_clarity,most_common_artifacts,most_common_immersion,highly_clear_count,moderately_clear_count,minimally_clear_count,no_artifacts_count,minor_artifacts_count,severe_artifacts_count,high_immersion_count,moderate_immersion_count,low_immersion_count
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,24,7,5,28,3,5,25,6
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,10,27,0,10,28,1,8,29
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,24,8,7,27,4,5,28,5
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,25,7,5,30,3,4,30,4
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_2500k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,3,26,9,4,28,6,2,27,9
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_3000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,24,6,7,29,2,9,26,3
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,24,9,5,26,7,4,26,8
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_5000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,25,6,8,24,5,7,24,6
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,3,20,15,2,25,11,2,19,17
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_600k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,14,24,0,16,22,0,16,22
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00,Highly Clear,No visible artifacts,High level of immersion,25,8,1,22,10,2,22,10,2
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_10000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,25,6,2,22,9,2,24,8,1
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_1500k_av1,Highly Clear,No visible artifacts,High level of immersion,23,13,1,19,15,3,25,10,2
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_2000k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,12,17,7,11,18,7,10,18,8
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_2300k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,6,27,1,4,29,0,6,28
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,29,8,0,26,8,3,27,8,2
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,20,8,10,19,8,10,18,9
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_5300k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,16,10,10,15,10,8,17,10
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_6000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,29,5,1,26,7,2,28,6,1
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,10,20,6,7,23,6,7,22,7
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,4,19,13,4,20,12,2,19,15
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,10,26,2,10,25,0,8,29
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,3,21,13,3,20,14,4,17,16
amt_gaming_vqa_dataset/0zLzWFrh3SI_WarRobots_2-22_720p_1500k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,6,13,18,4,14,19,3,16,18
