video_name,most_common_clarity,most_common_artifacts,most_common_immersion,highly_clear_count,moderately_clear_count,minimally_clear_count,no_artifacts_count,minor_artifacts_count,severe_artifacts_count,high_immersion_count,moderate_immersion_count,low_immersion_count
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_5-49,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,12,27,1,13,25,1,10,28
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_5-49_480p_1000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,13,26,0,13,27,1,13,26
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_5-49_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,7,32,0,11,29,1,7,32
amt_gaming_vqa_dataset/2UAQjGphSYg_RollerCoasterTycoon3_5-49_480p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,6,33,0,9,31,1,7,32
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43,Highly Clear,No visible artifacts,High level of immersion,22,16,1,19,18,2,21,16,2
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_10000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,23,15,1,21,17,1,22,16,1
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_1500k_av1,Highly Clear,No visible artifacts,High level of immersion,25,13,2,25,14,1,26,12,2
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_2000k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,18,19,3,17,22,1,17,21,2
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_2300k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,12,24,3,12,25,2,11,25,3
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,27,13,0,27,13,0,27,13,0
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,18,16,6,20,14,6,19,15
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_5300k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,25,11,2,24,14,0,24,12,2
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_6000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,26,11,3,24,14,2,26,11,3
amt_gaming_vqa_dataset/3HD4w_NvDJo_WorldofTanks_0-43_1080p_800k_hevc_nvenc,Minimally Clear,Minor Artifacts Present,Moderate level of immersion,5,17,18,4,19,17,5,18,17
amt_gaming_vqa_dataset/5Yw6OFzGVnY_TheWitcher3_19-03,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,2,37,0,4,36,2,4,34
amt_gaming_vqa_dataset/5Yw6OFzGVnY_TheWitcher3_19-03_480p_1000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,4,34,2,5,33,1,8,31
amt_gaming_vqa_dataset/5Yw6OFzGVnY_TheWitcher3_19-03_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,1,38,2,1,37,0,6,34
amt_gaming_vqa_dataset/5Yw6OFzGVnY_TheWitcher3_19-03_480p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,2,37,2,0,38,1,2,37
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,24,9,7,22,10,5,24,10
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,12,25,3,11,26,3,12,25
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Low level of immersion,5,18,17,5,19,16,6,17,17
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_1500k_hevc_nvenc,Minimally Clear,Minor Artifacts Present,Moderate level of immersion,5,16,19,5,19,16,4,19,17
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_2500k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,21,11,9,21,10,7,22,11
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_3000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,24,8,8,25,7,7,24,9
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,21,10,7,24,9,9,20,11
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_5000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,24,9,4,28,7,6,25,8
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,18,19,3,18,19,3,18,19
amt_gaming_vqa_dataset/S9gDkSOCXVw_TheWitcher3_30-51_720p_600k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,13,26,1,12,27,1,12,27
amt_gaming_vqa_dataset/y_5tz8uqo0dJA_Terraria_1-31-21_480p_1000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,12,21,7,11,25,4,11,20,9
amt_gaming_vqa_dataset/y_5tz8uqo0dJA_Terraria_1-31-21_480p_1000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,13,22,5,15,23,2,14,21,5
amt_gaming_vqa_dataset/y_5tz8uqo0dJA_Terraria_1-31-21_480p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,7,29,4,8,28,4,7,26,7
