HIT_ID,Worker_ID,Assignment_ID,Sample_Row_Name,Sample_Row_Index,Unique_HIT_Index,Unset,Stalls,ConsSD,DiffSD,repeatDiffs,Goldcount,goldDiffs
3K2CEDRAD1STGO0FYZUSFUPGG5EMTR,A32G4U1PTNH0Y9,39RP059MF8KV7M4SOF883KFPEAUBMS,row_0,0,0,32,1,8.032375375824083,36.15151515151515,"[7.0, 9.0, 1.0, 8.0, 6.0, 5.0]",4,"[33.47, 42.83, 1.3100000000000023, 19.430000000000007]"
3K2CEDRAD1STGO0FYZUSFUPGG5EMTR,AEXTZV2XLU0NW,3JPSL1DZ6JQW6UK0U2NCLOKJ1F9ANG,row_0,0,0,6,0,17.365494856417953,26.70967741935484,"[9.0, 29.0, 15.0, 2.0, 17.0, 23.0]",4,"[18.53, 37.17, 7.310000000000002, 7.569999999999993]"
3FDWKV9VDDT8G1F4Y4K2KQBIZJLMUI,A36CQIFWEDEECU,34T446B1DR5HEDPRDAH5G7EUTQW0CC,row_0,0,0,29,0,23.436821543775388,35.10144927536232,"[18.0, 17.0, 23.0, 1.0]",4,"[15.530000000000001, 32.83, 20.310000000000002, 1.4300000000000068]"
3FDWKV9VDDT8G1F4Y4K2KQBIZJLMUI,A32G4U1PTNH0Y9,3RU7GD8VQFK09BI7RHMVADJKN22PSC,row_0,0,0,32,1,11.404623053711383,27.09090909090909,"[19.0, 4.0, 2.0, 8.0, 4.0, 2.0, 3.0]",4,"[69.47, 42.83, 5.310000000000002, 18.430000000000007]"
322ZSN9Z66BDCYB9SVUWT08GUETT43,A3RTHA7MUNT5Z6,30IQTZXKBBX5HB0M46DSUKZ4U9S0XO,row_0,0,0,32,1,28.326368613585156,3.1343283582089554,"[62.0, 88.0, 34.0, 1.0, 17.0, 28.0]",3,"[41.83, 59.69, 13.430000000000007]"
322ZSN9Z66BDCYB9SVUWT08GUETT43,A1NN61ZAXV9FR0,3WT783CTQ28IY0S1BQEU0OADKU8CBP,row_0,0,0,6,4,26.099659497739058,36.75,"[38.0, 4.0, 2.0, 1.0, 43.0, 6.0]",4,"[2.530000000000001, 16.17, 12.689999999999998, 10.430000000000007]"
322ZSN9Z66BDCYB9SVUWT08GUETT43,A36CQIFWEDEECU,3Z2R0DQ0K8537LCJOOREPJ7CB1J2EJ,row_0,0,0,25,0,22.155873198945045,32.67123287671233,"[0.0, 3.0, 18.0, 21.0, 8.0, 1.0, 1.0]",4,"[6.469999999999999, 12.829999999999998, 26.310000000000002, 19.430000000000007]"
3QX22DUVPE88TG443UU7GCD1DQUMV7,AVEV8X13Y4JSR,382M9COHF86CRXLL781KV224URRUEG,row_0,0,0,6,0,19.923283318155963,24.301075268817204,"[12.0, 13.0, 32.0, 40.0, 42.0, 3.0]",4,"[18.53, 37.17, 6.310000000000002, 7.569999999999993]"
3QX22DUVPE88TG443UU7GCD1DQUMV7,AEXTZV2XLU0NW,3OJSZ2ATEJNAX3GWJZF6HGI79N057T,row_0,0,0,6,1,19.669591250943377,29.602150537634408,"[26.0, 2.0, 6.0, 1.0, 0.0, 12.0]",4,"[18.53, 37.17, 7.310000000000002, 7.569999999999993]"
3QX22DUVPE88TG443UU7GCD1DQUMV7,A3ZYZ0YTTG195,3OS4RQUCS06P1CCB2S4V8UVGHG9BFQ,row_0,0,0,32,0,9.409078709795438,34.74242424242424,"[1.0, 5.0, 5.0, 10.0, 19.0, 1.0, 14.0]",4,"[56.47, 7.829999999999998, 18.310000000000002, 28.430000000000007]"
3QX22DUVPE88TG443UU7GCD1DQUMV7,A36CQIFWEDEECU,3WI0P0II7SJFJZF47JVVK9XZNGRRDL,row_0,0,0,22,0,21.78948957538195,32.53947368421053,"[15.0, 2.0, 9.0, 2.0, 38.0, 1.0]",4,"[6.469999999999999, 32.83, 21.310000000000002, 0.5699999999999932]"
