WorkerId,AssignmentId,Reasons,Rejections
AHZ08BLAUVT5I,3B4YI393W0NXM3YZJYQP5IOV66ESS0/3B4YI393W0NXM3YZJYQP5IOV66ESS0/3B4YI393W0NXM3YZJYQP5IOV66ESS0,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.Too many unset video ratings (30 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",3
A1WYKGQX8SSNMI,3DY4FPOOBSF1DGFQY4VPQV36J80RVR/3DY4FPOOBSF1DGFQY4VPQV36J80RVR/3DY4FPOOBSF1DGFQY4VPQV36J80RVR,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersionToo many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=70Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion",3
A33NX9VHIY09QQ,3K772S5NQZ27MBF179ULCNDEW41HEG/3K772S5NQZ27MBF179ULCNDEW41HEG/3K772S5NQZ27MBF179ULCNDEW41HEG,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersionToo many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=56Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion",3
A21PC6ZS98FGB5,3Z3ZLGNNT9LHP6Y71F0J2A1IW283Q8/3Z3ZLGNNT9LHP6Y71F0J2A1IW283Q8/3Z3ZLGNNT9LHP6Y71F0J2A1IW283Q8,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersionToo many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=55Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion",3
A1UJO0R1GJ7JPM,3FE2ERCC0OZLBJQEK05MQ89JMXAPOQ/3FE2ERCC0OZLBJQEK05MQ89JMXAPOQ/3FE2ERCC0OZLBJQEK05MQ89JMXAPOQ,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersionToo many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=78Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion",3
A20G8SL4ZZ38FL,3HL8HNGX5WS6DJXE48QZHO0QPSF9F7/3HL8HNGX5WS6DJXE48QZHO0QPSF9F7/3HL8HNGX5WS6DJXE48QZHO0QPSF9F7,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersionToo many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=55Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion",3
A2W91LUNJYMM4N,3IJXV6UZ2OAWRAVQZXW6B6DCB6BRI1/3IJXV6UZ2OAWRAVQZXW6B6DCB6BRI1/3IJXV6UZ2OAWRAVQZXW6B6DCB6BRI1,"all slider ratings are very similar, the slider moved to same range of scores. | Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersionall slider ratings are very similar, the slider moved to same range of scores. | Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=84all slider ratings are very similar, the slider moved to same range of scores. | Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion",3
ATTYQD9FZL2MA,3RKNTXVS4DPAKMAUCX8GMFEJ6KN4AS/3RKNTXVS4DPAKMAUCX8GMFEJ6KN4AS/3RKNTXVS4DPAKMAUCX8GMFEJ6KN4AS,"all slider ratings are very similar, the slider moved to same range of scores. | The delays in video ratings are too high.all slider ratings are very similar, the slider moved to same range of scores. | The delays in video ratings are too high (76 > 50)all slider ratings are very similar, the slider moved to same range of scores. | The delays in video ratings are too high.",3
AU4PTX44URN8D,3FTF2T8WMI98O5J9UX0ZLCMQKVYW9L/3FTF2T8WMI98O5J9UX0ZLCMQKVYW9L/3FTF2T8WMI98O5J9UX0ZLCMQKVYW9L,The scores are not consistent across repeated videos.The scores for repeated videos are not consistent (4 > 3)The scores for repeated videos are not consistent.,3
ABKYJJD0ZK291,3EFVCAY5MU0M4G00I6B6WQX7YTAJ8R/3EFVCAY5MU0M4G00I6B6WQX7YTAJ8R/3VE8AYVF9DO6ZEE4ZGKLHS5F5MXF8O/3VE8AYVF9DO6ZEE4ZGKLHS5F5MXF8O/3VE8AYVF9DO6ZEE4ZGKLHS5F5MXF8O,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersionToo many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=50Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersionToo many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=66Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion",5
A1ZL17KIP85OLV,3E4GGUZ1UZI6TL4TKA2HNEKHRIF2K3/3E4GGUZ1UZI6TL4TKA2HNEKHRIF2K3/3QY5DC2MYIB4XBLH2JLQDKN42DGFUV/3QY5DC2MYIB4XBLH2JLQDKN42DGFUV/3QY5DC2MYIB4XBLH2JLQDKN42DGFUV,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersionToo many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=45Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersionToo many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=64Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion",5
