WorkerId,Value
A8GUBFG0IW2E1,0
AHZ08BLAUVT5I,0
A21PC6ZS98FGB5,0
A3XNJW1NJ13Y9,0
A1ZL17KIP85OLV,0
A1JDPMVFB8HNMH,0
A1477E54Q7AA4J,0
AU4PTX44URN8D,0
AD9QQRANGJBO1,0
A12KQGDA5YYCW7,0
A1KLLYT0ITXDK4,0
AENVAI9BDIXSS,0
A33NX9VHIY09QQ,0
A2SKY317RZ3NCS,0
A3A448MW1VKCV,0
ATTYQD9FZL2MA,0
A34D1LAUUQZCRT,0
A16EGD2ITJKO4V,0
A13GBA16BNTN1A,0
A1L5MD62BMOXFK,0
A20G8SL4ZZ38FL,0
A33UXG9L5A5H7H,0
A1KAYSB7LMX4FN,0
A2W91LUNJYMM4N,0
A1AP1MJMX5921U,0
A1JG342PWI2PTC,0
A1JFGI5XJYYR3A,0
A2H1UFKV8FSTV2,0
A1X0K1GC85ROW9,0
ABKYJJD0ZK291,0
A2FC99DDV5E9TW,0
AFRA8WYVL1DJ7,0
A3PFV1UMF7FJ6S,0
A1WYKGQX8SSNMI,0
A3ME4M9A7220AE,0
A1PLBQ3LANDLOE,0
A47LXYTWFIB6F,0
A1UJO0R1GJ7JPM,0
AKH8KUW6I3COL,0
A3EHTYB6C5LW35,0
A365E9HTM3WK5B,0
A38WTWM6YX9KHF,0
A2ZM1X4W5OBSRW,0
