video_name,most_common_clarity,most_common_artifacts,most_common_immersion,highly_clear_count,moderately_clear_count,minimally_clear_count,no_artifacts_count,minor_artifacts_count,severe_artifacts_count,high_immersion_count,moderate_immersion_count,low_immersion_count
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00,Highly Clear,No visible artifacts,High level of immersion,22,13,0,21,13,1,21,12,2
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,7,29,0,3,33,2,3,31
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,13,22,1,12,23,1,12,23,1
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,11,24,1,12,20,4,11,23,2
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_2500k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,21,6,8,19,9,9,18,9
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_3000k_av1,Highly Clear,No visible artifacts,High level of immersion,25,9,2,25,11,0,26,9,1
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_3500k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,22,14,0,19,17,0,22,14,0
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_5000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,19,16,0,18,16,1,19,16,0
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,23,4,6,21,8,7,22,6
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_600k_hevc_nvenc,Moderately Clear,Severe Artifacts Present,Low level of immersion,4,16,15,3,15,17,4,15,16
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28,Highly Clear,No visible artifacts,High level of immersion,31,9,0,28,11,1,29,10,1
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_10000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,37,4,2,38,5,0,36,5,2
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_1500k_av1,Highly Clear,No visible artifacts,High level of immersion,29,12,2,26,16,1,30,11,2
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_2000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,31,9,3,33,7,3,30,10,3
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_2300k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,24,15,4,24,18,1,24,16,3
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,33,9,1,30,12,1,31,11,1
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,23,4,14,24,5,15,22,6
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_5300k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,35,6,1,32,8,2,34,7,1
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_6000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,34,8,0,29,11,2,32,8,2
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,15,21,7,13,23,7,13,22,8
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,4,31,0,4,31,0,6,29
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15_480p_1000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,3,31,2,4,29,2,3,30
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,3,31,2,3,31,2,4,30
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_15-15_480p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,6,30,1,6,29,1,5,30
amt_gaming_vqa_dataset/2hRQj7qbY08_HalfLife2_9-32,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,16,18,5,13,19,3,16,18
amt_gaming_vqa_dataset/4-bEP5UaZug_TheWitcher3_14-52,Minimally Clear,Minor Artifacts Present,Low level of immersion,2,18,19,3,18,18,1,17,21
amt_gaming_vqa_dataset/4-bEP5UaZug_TheWitcher3_14-52_1080p_10000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,5,15,22,4,15,23,6,15,21
amt_gaming_vqa_dataset/4-bEP5UaZug_TheWitcher3_14-52_1080p_1500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,17,23,4,17,22,3,18,22
amt_gaming_vqa_dataset/4-bEP5UaZug_TheWitcher3_14-52_1080p_2000k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,16,24,6,16,21,6,16,21
amt_gaming_vqa_dataset/4-bEP5UaZug_TheWitcher3_14-52_1080p_2300k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,11,29,0,18,24,2,14,26
amt_gaming_vqa_dataset/4-bEP5UaZug_TheWitcher3_14-52_1080p_5000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,4,17,22,5,16,22,3,19,21
amt_gaming_vqa_dataset/4-bEP5UaZug_TheWitcher3_14-52_1080p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,8,33,1,9,33,2,10,31
amt_gaming_vqa_dataset/4-bEP5UaZug_TheWitcher3_14-52_1080p_5300k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Moderate level of immersion,1,17,24,2,17,23,0,21,21
amt_gaming_vqa_dataset/4-bEP5UaZug_TheWitcher3_14-52_1080p_6000k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,5,13,25,3,16,24,5,13,25
amt_gaming_vqa_dataset/4-bEP5UaZug_TheWitcher3_14-52_1080p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,11,31,0,11,32,1,15,27
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,17,20,2,15,20,4,17,18,4
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_1000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,15,21,7,14,23,6,12,25,6
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_1300k_av1,Moderately Clear,No visible artifacts,High level of immersion,19,21,3,20,19,4,22,16,5
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,21,6,15,23,5,16,21,6
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_2500k_h264_nvenc,Highly Clear,Minor Artifacts Present,High level of immersion,20,16,7,19,21,3,20,16,7
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_3000k_av1,Highly Clear,No visible artifacts,Moderate level of immersion,18,18,7,19,18,6,18,18,7
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,17,22,4,15,25,3,16,22,5
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_5000k_h264_nvenc,Highly Clear,Minor Artifacts Present,High level of immersion,21,15,5,19,20,2,20,18,3
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,19,20,4,19,20,4,18,22,3
amt_gaming_vqa_dataset/7-hLU5CPD88_AngryBirds2_4-26_720p_600k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,30,4,7,31,5,8,28,7
amt_gaming_vqa_dataset/7B22h8ZiZ5M_FIFA_19-00,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,8,27,2,4,29,1,4,30
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06,Highly Clear,No visible artifacts,High level of immersion,19,13,3,16,15,4,17,15,3
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_1000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,4,18,14,1,19,16,3,17,16
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_1300k_av1,Highly Clear,No visible artifacts,High level of immersion,19,17,0,18,18,0,18,18,0
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_1500k_hevc_nvenc,Highly Clear,Minor Artifacts Present,High level of immersion,19,14,3,16,16,4,17,16,3
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_2500k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,18,16,2,18,16,2,19,15,2
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_3000k_av1,Highly Clear,No visible artifacts,High level of immersion,20,16,0,18,18,0,20,16,0
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_3500k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,22,13,1,20,15,1,20,15,1
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_5000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,24,11,0,22,12,1,23,11,1
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,8,12,16,5,14,17,5,15,16
amt_gaming_vqa_dataset/8cN8L9nNCYI_FallGuys_1-06_720p_600k_hevc_nvenc,Moderately Clear,Severe Artifacts Present,Low level of immersion,4,16,16,3,14,19,4,13,19
amt_gaming_vqa_dataset/8yfoGo7unhM_FIFA_1-59,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,15,23,4,12,25,5,15,22,5
amt_gaming_vqa_dataset/8yfoGo7unhM_FIFA_1-59_720p_1000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,26,9,8,24,11,7,25,11
amt_gaming_vqa_dataset/8yfoGo7unhM_FIFA_1-59_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,21,6,13,24,6,12,25,6
amt_gaming_vqa_dataset/8yfoGo7unhM_FIFA_1-59_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,11,27,5,11,27,5,11,27,5
amt_gaming_vqa_dataset/8yfoGo7unhM_FIFA_1-59_720p_2500k_h264_nvenc,Highly Clear,Minor Artifacts Present,Moderate level of immersion,19,18,5,14,22,6,17,20,5
amt_gaming_vqa_dataset/8yfoGo7unhM_FIFA_1-59_720p_3000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,17,21,3,14,23,4,15,22,4
amt_gaming_vqa_dataset/8yfoGo7unhM_FIFA_1-59_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,17,22,4,15,24,4,17,22,4
amt_gaming_vqa_dataset/8yfoGo7unhM_FIFA_1-59_720p_5000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,17,24,2,19,21,3,18,23,2
amt_gaming_vqa_dataset/8yfoGo7unhM_FIFA_1-59_720p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,7,30,6,8,27,8,8,29,6
amt_gaming_vqa_dataset/8yfoGo7unhM_FIFA_1-59_720p_600k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,7,22,14,5,20,18,7,21,15
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_4-16,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,11,20,1,11,21,2,12,19
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_4-16_480p_1000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,6,14,16,4,15,17,5,15,16
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_4-16_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,11,22,3,11,22,3,11,22
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_4-16_480p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,13,21,3,11,22,3,10,23
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05,Highly Clear,No visible artifacts,High level of immersion,23,17,0,20,19,1,20,19,1
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_10000k_h264_nvenc,Highly Clear,Minor Artifacts Present,Moderate level of immersion,21,19,2,17,23,2,16,23,3
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_1500k_av1,Highly Clear,No visible artifacts,High level of immersion,24,17,2,24,17,2,23,19,1
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_2000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,21,13,4,18,18,2,18,15,5
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_2300k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,20,21,2,17,23,3,15,26,2
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_5000k_av1,Highly Clear,No visible artifacts,Moderate level of immersion,26,16,1,25,15,3,20,21,2
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_500k_av1,Highly Clear,No visible artifacts,High level of immersion,20,17,6,20,18,5,20,15,8
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_5300k_h264_nvenc,Highly Clear,No visible artifacts,Moderate level of immersion,24,14,4,20,19,3,19,20,3
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_6000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,22,14,3,19,16,4,22,14,3
amt_gaming_vqa_dataset/9pZUBpZomdk_AngryBirds2_0-05_1080p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,20,3,14,20,5,12,22,5
