video_name,batch,num_valid_ratings,rating_1,rating_2,rating_3,rating_4,rating_5,rating_6,rating_7,rating_8,rating_9,rating_10,rating_11,rating_12,rating_13,rating_14,rating_15,rating_16,rating_17,rating_18,rating_19,rating_20,rating_21,rating_22,rating_23,rating_24,rating_25,rating_26,rating_27,rating_28,rating_29,rating_30,rating_31,rating_32,rating_33,rating_34,rating_35,rating_36,rating_37,rating_38,rating_39,rating_40,rating_41,rating_42,rating_43,rating_44,rating_45,rating_46,rating_47,rating_48,rating_49,rating_50,rating_51,rating_52,rating_53,rating_54,rating_55,rating_56,rating_57,rating_58,rating_59,rating_60,rating_61
amt_gaming_vqa_dataset/-0YyCVvKilw_IceAgeVillage_4-40,E,42,41.0,70.0,21.0,36.0,69.0,52.0,0.0,10.0,59.0,19.0,49.0,38.0,41.0,0.0,28.0,42.0,17.0,22.0,35.0,14.0,35.0,97.0,55.0,68.0,25.0,82.0,31.0,8.0,33.0,49.0,22.0,57.0,19.0,25.0,77.0,19.0,26.0,28.0,28.0,48.0,45.0,63.0,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10,D,34,87.0,87.0,31.0,70.0,76.0,84.0,66.0,70.0,75.0,87.0,86.0,86.0,58.0,78.0,100.0,79.0,69.0,87.0,88.0,75.0,46.0,77.0,39.0,100.0,90.0,53.0,71.0,96.0,79.0,83.0,82.0,100.0,99.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_10000k_h264_nvenc,D,33,55.0,47.0,51.0,50.0,77.0,69.0,70.0,41.0,53.0,63.0,74.0,81.0,59.0,68.0,78.0,97.0,69.0,69.0,96.0,93.0,61.0,82.0,75.0,95.0,46.0,100.0,75.0,68.0,74.0,81.0,89.0,78.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_1500k_av1,D,35,55.0,59.0,88.0,70.0,83.0,59.0,81.0,63.0,71.0,69.0,72.0,64.0,95.0,72.0,45.0,93.0,97.0,82.0,69.0,49.0,87.0,47.0,83.0,70.0,100.0,50.0,90.0,79.0,73.0,43.0,82.0,78.0,67.0,62.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_2000k_hevc_nvenc,D,33,79.0,47.0,28.0,54.0,82.0,44.0,63.0,50.0,66.0,37.0,22.0,81.0,77.0,50.0,80.0,41.0,78.0,63.0,49.0,73.0,54.0,55.0,50.0,89.0,84.0,91.0,78.0,87.0,72.0,41.0,72.0,50.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_2300k_h264_nvenc,D,35,17.0,7.0,18.0,42.0,47.0,29.0,16.0,27.0,32.0,13.0,28.0,8.0,27.0,7.0,15.0,0.0,77.0,46.0,32.0,0.0,40.0,9.0,28.0,39.0,3.0,27.0,0.0,31.0,31.0,42.0,11.0,17.0,0.0,14.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_5000k_av1,D,35,86.0,68.0,81.0,78.0,75.0,87.0,67.0,69.0,71.0,80.0,79.0,69.0,93.0,60.0,50.0,96.0,97.0,86.0,59.0,62.0,83.0,35.0,88.0,83.0,100.0,73.0,74.0,76.0,84.0,71.0,71.0,82.0,91.0,82.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_500k_av1,D,35,64.0,45.0,57.0,50.0,81.0,36.0,24.0,14.0,41.0,24.0,36.0,8.0,41.0,27.0,32.0,41.0,97.0,51.0,28.0,29.0,83.0,37.0,54.0,42.0,29.0,63.0,62.0,69.0,47.0,74.0,21.0,32.0,45.0,38.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_5300k_h264_nvenc,D,35,87.0,54.0,55.0,72.0,78.0,59.0,79.0,51.0,72.0,55.0,66.0,64.0,78.0,58.0,64.0,75.0,97.0,69.0,54.0,72.0,87.0,54.0,71.0,67.0,94.0,36.0,54.0,81.0,55.0,70.0,60.0,68.0,71.0,92.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_6000k_hevc_nvenc,D,33,87.0,54.0,83.0,68.0,77.0,53.0,70.0,84.0,70.0,76.0,83.0,67.0,87.0,72.0,83.0,83.0,79.0,72.0,51.0,70.0,61.0,92.0,80.0,100.0,73.0,90.0,76.0,83.0,69.0,78.0,89.0,89.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_800k_hevc_nvenc,D,33,17.0,65.0,71.0,62.0,53.0,44.0,8.0,1.0,42.0,23.0,32.0,43.0,34.0,27.0,31.0,30.0,82.0,61.0,25.0,44.0,38.0,44.0,43.0,1.0,19.0,46.0,57.0,43.0,72.0,20.0,29.0,39.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30,D,27,13.0,2.0,87.0,62.0,83.0,70.0,82.0,92.0,72.0,72.0,85.0,51.0,68.0,83.0,87.0,97.0,62.0,87.0,75.0,58.0,74.0,92.0,56.0,39.0,96.0,88.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_10000k_h264_nvenc,D,26,61.0,45.0,75.0,90.0,90.0,100.0,86.0,72.0,63.0,100.0,59.0,92.0,75.0,98.0,61.0,64.0,89.0,75.0,75.0,62.0,63.0,65.0,97.0,88.0,61.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_1500k_av1,D,29,85.0,90.0,84.0,52.0,77.0,59.0,42.0,84.0,27.0,74.0,76.0,9.0,86.0,41.0,69.0,97.0,53.0,83.0,64.0,36.0,64.0,62.0,95.0,46.0,67.0,92.0,59.0,82.0,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_2000k_hevc_nvenc,D,29,76.0,87.0,34.0,69.0,59.0,88.0,81.0,73.0,49.0,57.0,28.0,49.0,42.0,81.0,88.0,97.0,53.0,63.0,77.0,43.0,51.0,75.0,29.0,77.0,89.0,96.0,38.0,86.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_2300k_h264_nvenc,D,28,57.0,66.0,76.0,58.0,50.0,64.0,55.0,41.0,50.0,55.0,59.0,29.0,59.0,29.0,56.0,97.0,18.0,71.0,83.0,23.0,28.0,29.0,82.0,54.0,65.0,76.0,35.0,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_5000k_av1,D,29,71.0,89.0,65.0,84.0,59.0,88.0,93.0,96.0,72.0,64.0,75.0,70.0,40.0,75.0,78.0,78.0,53.0,66.0,93.0,69.0,78.0,81.0,79.0,65.0,98.0,81.0,52.0,83.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_500k_av1,D,29,50.0,68.0,64.0,54.0,21.0,31.0,21.0,23.0,27.0,39.0,22.0,11.0,29.0,27.0,44.0,97.0,42.0,31.0,22.0,26.0,0.0,25.0,0.0,59.0,46.0,45.0,22.0,11.0,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_5300k_h264_nvenc,D,24,80.0,86.0,68.0,100.0,74.0,81.0,78.0,65.0,49.0,41.0,80.0,92.0,83.0,53.0,83.0,91.0,55.0,67.0,75.0,69.0,91.0,89.0,71.0,85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_6000k_hevc_nvenc,D,29,75.0,87.0,63.0,67.0,78.0,82.0,67.0,100.0,50.0,75.0,99.0,42.0,83.0,78.0,86.0,97.0,52.0,78.0,90.0,66.0,86.0,75.0,85.0,81.0,95.0,92.0,71.0,86.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_800k_hevc_nvenc,D,29,51.0,63.0,66.0,37.0,0.0,0.0,7.0,0.0,28.0,32.0,0.0,7.0,17.0,28.0,41.0,97.0,19.0,50.0,44.0,25.0,4.0,13.0,6.0,46.0,18.0,41.0,25.0,17.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30,J,36,40.0,26.0,28.0,30.0,43.0,55.0,67.0,32.0,48.0,27.0,23.0,45.0,50.0,38.0,50.0,65.0,50.0,60.0,46.0,69.0,59.0,30.0,15.0,78.0,25.0,47.0,27.0,42.0,60.0,43.0,57.0,67.0,28.0,78.0,36.0,66.0,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_1000k_h264_nvenc,J,37,25.0,5.0,9.0,28.0,39.0,26.0,16.0,31.0,39.0,39.0,29.0,21.0,41.0,36.0,30.0,56.0,26.0,50.0,29.0,31.0,31.0,14.0,11.0,19.0,77.0,28.0,25.0,31.0,40.0,11.0,28.0,19.0,50.0,22.0,31.0,8.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_1300k_av1,J,37,35.0,9.0,29.0,37.0,16.0,37.0,45.0,29.0,51.0,20.0,41.0,62.0,32.0,38.0,47.0,61.0,55.0,69.0,40.0,46.0,30.0,50.0,18.0,45.0,66.0,23.0,51.0,32.0,28.0,32.0,48.0,50.0,50.0,19.0,50.0,23.0,79.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_1500k_hevc_nvenc,J,37,60.0,27.0,27.0,28.0,65.0,34.0,54.0,37.0,50.0,35.0,31.0,42.0,41.0,35.0,62.0,57.0,86.0,59.0,59.0,60.0,41.0,68.0,41.0,39.0,74.0,42.0,60.0,19.0,41.0,46.0,27.0,10.0,49.0,22.0,73.0,42.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_2500k_h264_nvenc,J,36,31.0,14.0,26.0,37.0,40.0,36.0,38.0,30.0,40.0,30.0,31.0,45.0,35.0,59.0,40.0,68.0,68.0,28.0,32.0,32.0,56.0,41.0,56.0,59.0,24.0,86.0,36.0,28.0,34.0,29.0,26.0,36.0,31.0,46.0,6.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_3000k_av1,J,37,25.0,23.0,28.0,31.0,32.0,46.0,26.0,30.0,74.0,36.0,40.0,35.0,45.0,44.0,64.0,45.0,79.0,89.0,63.0,50.0,45.0,74.0,28.0,58.0,54.0,44.0,72.0,18.0,27.0,33.0,47.0,47.0,54.0,20.0,78.0,10.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,
