video_name,most_common_clarity,most_common_artifacts,most_common_immersion,highly_clear_count,moderately_clear_count,minimally_clear_count,no_artifacts_count,minor_artifacts_count,severe_artifacts_count,high_immersion_count,moderate_immersion_count,low_immersion_count,batch
amt_gaming_vqa_dataset/-0YyCVvKilw_IceAgeVillage_4-40,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,18,21,4,16,22,3,15,24,E
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10,Highly Clear,No visible artifacts,High level of immersion,26,8,0,24,10,0,27,5,2,D
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_10000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,21,12,0,20,13,0,20,13,0,D
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_1500k_av1,Highly Clear,No visible artifacts,High level of immersion,20,15,0,23,11,1,23,12,0,D
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_2000k_hevc_nvenc,Highly Clear,Minor Artifacts Present,High level of immersion,15,15,3,12,17,4,15,15,3,D
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_2300k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,7,27,1,4,30,0,9,26,D
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,26,9,0,27,8,0,27,8,0,D
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_500k_av1,Moderately Clear,Severe Artifacts Present,Moderate level of immersion,7,15,13,7,13,15,5,16,14,D
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_5300k_h264_nvenc,Moderately Clear,No visible artifacts,High level of immersion,14,19,2,17,17,1,18,16,1,D
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_6000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,27,6,0,26,7,0,26,7,0,D
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_800k_hevc_nvenc,Moderately Clear,Severe Artifacts Present,Moderate level of immersion,3,16,14,1,15,17,5,15,13,D
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30,Highly Clear,No visible artifacts,High level of immersion,18,8,1,18,6,3,18,6,3,D
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_10000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,19,6,1,18,8,0,17,8,1,D
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_1500k_av1,Highly Clear,Minor Artifacts Present,High level of immersion,15,11,3,12,13,4,13,11,5,D
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_2000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,14,12,3,14,11,4,13,12,4,D
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_2300k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,15,8,5,15,8,5,14,9,D
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,22,7,0,19,10,0,21,7,1,D
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,10,18,1,9,19,1,9,19,D
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_5300k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,17,7,0,15,9,0,15,9,0,D
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_6000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,23,6,0,22,7,0,22,6,1,D
