video_name,batch,average_final_rating,valid_ratings_count,total_ratings_count,std_rating,min_rating,max_rating
amt_gaming_vqa_dataset/Faastpenguin_1_1080p_10000k_h264nvenc,A,83.83333333333333,36,38,12.577537296483937,62.0,100.0
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_5000k_av1,J,83.53846153846153,39,39,12.033811668551312,59.0,100.0
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00,J,81.83333333333333,36,39,15.226986278023341,41.0,100.0
amt_gaming_vqa_dataset/DragonballZkakrot_1080p_5000k_av1,B,81.6,35,36,13.43173215082212,47.0,100.0
amt_gaming_vqa_dataset/DragonballZkakrot_2160p_25000k_h264nvenc,B,81.55882352941177,34,36,13.023036549471023,57.0,100.0
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_5000k_av1,B,81.52272727272727,44,44,12.920189691056882,50.0,100.0
amt_gaming_vqa_dataset/Astroysplayroom_1_2160p_10000k_av1,C,81.12903225806451,31,32,13.790464062658497,54.0,100.0
amt_gaming_vqa_dataset/Faastpenguin_1_2160p_25000k_h264nvenc,A,80.8108108108108,37,38,11.462837339992502,52.0,100.0
amt_gaming_vqa_dataset/Faastpenguin_1,A,80.57142857142857,35,38,17.689844890357232,12.0,100.0
amt_gaming_vqa_dataset/Genshinimpact_2,A,80.48717948717949,39,41,12.81599920546389,35.0,100.0
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_av1,A,80.46341463414635,41,41,12.976710021204141,41.0,100.0
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_1500k_av1,J,80.26315789473684,38,39,14.199118227860259,51.0,100.0
amt_gaming_vqa_dataset/tWyYHwQEZMU_Minecraft_8-27_1080p_10000k_h264_nvenc,K,80.24242424242425,33,37,12.499770429480508,40.0,100.0
amt_gaming_vqa_dataset/Farcry6_1,A,80.22222222222223,36,38,11.80186216735664,49.0,100.0
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_6000k_hevc_nvenc,J,80.21621621621621,37,39,16.55969567407914,44.0,100.0
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_5000k_av1,A,80.14634146341463,41,41,11.125801644145294,55.0,100.0
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_10000k_h264nvenc,B,80.04761904761905,42,44,12.346104804952665,45.0,100.0
amt_gaming_vqa_dataset/tWyYHwQEZMU_Minecraft_8-27,K,79.875,32,37,13.970392800490615,32.0,100.0
amt_gaming_vqa_dataset/DragonballZkakrot,B,79.82352941176471,34,36,15.372761603171972,39.0,100.0
amt_gaming_vqa_dataset/Sessionskatesim_2,C,79.6774193548387,31,31,14.14757951889638,46.0,100.0
amt_gaming_vqa_dataset/cFbJA_I2FX0_StardewValley_12-25_1080p_10000k_h264_nvenc,J,79.67567567567568,37,39,12.651362610201863,50.0,100.0
amt_gaming_vqa_dataset/Genshinimpact_1,A,79.52777777777777,36,37,11.36145068767167,55.0,100.0
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_5000k_h264nvenc,B,79.5,42,44,15.530691579977402,30.0,100.0
amt_gaming_vqa_dataset/Faastpenguin_1_2160p_10000k_av1,A,79.3157894736842,38,38,16.075652173326716,30.0,100.0
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_5000k_av1,A,79.30555555555556,36,36,13.194736838865472,51.0,100.0
amt_gaming_vqa_dataset/DragonballZkakrot_2160p_5000k_av1,B,79.25714285714285,35,36,16.537995831492065,8.0,100.0
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_5000k_av1,A,79.21951219512195,41,41,11.99697562522698,56.0,100.0
amt_gaming_vqa_dataset/WWE2K24_2160p_10000k_av1,C,79.13793103448276,29,29,19.66218870535269,13.0,100.0
amt_gaming_vqa_dataset/DragonballZkakrot_2160p_10000k_av1,B,79.05714285714286,35,36,18.192530425020763,8.0,100.0
amt_gaming_vqa_dataset/Faastpenguin_2_1080p_10000k_h264nvenc,A,79.02857142857142,35,36,16.382021006118197,27.0,100.0
amt_gaming_vqa_dataset/tWyYHwQEZMU_Minecraft_8-27_1080p_5000k_av1,K,79.02702702702703,37,37,15.211102784419952,41.0,100.0
amt_gaming_vqa_dataset/Faastpenguin_2,A,78.97058823529412,34,36,16.693579769969418,37.0,100.0
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_25000k_h264nvenc,B,78.95121951219512,41,44,17.017854640393733,21.0,100.0
amt_gaming_vqa_dataset/Farcry6_1_2160p_25000k_h264nvenc,A,78.91891891891892,37,38,10.763748915835764,59.0,100.0
amt_gaming_vqa_dataset/JakandDaxter_1080p_5000k_av1,B,78.89189189189189,37,37,14.604301076541068,42.0,100.0
amt_gaming_vqa_dataset/Faastpenguin_1_1080p_5000k_av1,A,78.84210526315789,38,38,16.06487884828181,15.0,100.0
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_25000k_h264nvenc,A,78.76315789473684,38,41,11.588184114878931,52.0,100.0
amt_gaming_vqa_dataset/WWE2K24_1080p_10000k_h264nvenc,C,78.60714285714286,28,29,16.03420291955001,30.0,100.0
amt_gaming_vqa_dataset/Astroysplayroom_2_1080p_5000k_av1,C,78.55172413793103,29,30,14.942617152700391,28.0,100.0
amt_gaming_vqa_dataset/DragonballZkakrot_1080p_10000k_h264nvenc,B,78.54285714285714,35,36,13.019420345101736,50.0,99.0
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_25000k_h264nvenc,A,78.51515151515152,33,36,15.40586510139881,46.0,100.0
amt_gaming_vqa_dataset/Astroysplayroom_1_2160p_5000k_av1,C,78.48387096774194,31,32,15.088707522283945,36.0,100.0
