WorkerId,AssignmentId,Reasons,Rejections
A1Q7VWUBIJOK17,3GGAI1SQFMPEHRWY2F43E4L7RF2MCH,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=53",1.0
AK4947CIG17B5,3TMFV4NEQZ58A00ZP5ULLGRF0XU8W2,Too many unset video ratings (32 > 24),1.0
A8FDO3RM1NQLE,3Y9N9SS8MP2N0XU2WTUZ2BUJGNX3DK,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=52",1.0
A140CEAA0194YY,3MMN5BL1XQVQ4R0F9MT2L1HDMCZ3MV,Too many unset video ratings (32 > 24),1.0
A3EQJNW5E132JK,3WAKVUDHVN7RII6BK0NEPSAN4ZBU74,Too many unset video ratings (32 > 24),1.0
AW338AT1TPG6H,3X3OR7WP0QRSZ6O0LRNJC5AZ2YUL86,Too many unset video ratings (32 > 24),1.0
A3ME4M9A7220AE,34S9DKFK8UGX2CI3A81SOA2Q01XYNL,Too many unset video ratings (32 > 24),1.0
A18LFH7XW61JO9,3TVRFO09HB6IE7P8TZZBS4RSSRZXLP,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=56",1.0
A1GQKCTY2N75DH,3YHH42UU626AHHJXQNA4JQ4HIHF0LS,Too many unset video ratings (32 > 24),1.0
A3TD836U3Z1J2B,3LRLIPTPFH0VYOZXXPVWTW3F23RAKV,Too many unset video ratings (32 > 24) | The scores for golden videos are not consistent with the true scores.,1.0
AQTP7NEWCUGIX,3PZDLQMM1KCOANS5SXLJZV79P9IC2F,Too many unset video ratings (32 > 24),1.0
A1ZGWMA6BBM3CU,3ZGVPD4G7K8V2FXS3QPNBGHKU0ITZC,Too many unset video ratings (32 > 24),1.0
AVEV8X13Y4JSR,382M9COHF86CRXLL781KV224URRUEG,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=52",1.0
A3U5FZX51JBFQW,3PM8NZGV9P7T545LL4779QQM36BQXF,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=53",1.0
AFT6VDMD6VGDG,3H0W84IWCBTKB5T43E6FQRFKMEARE3,Too many unset video ratings (33 > 24),1.0
A1689LPUF6HS1A,36TFCYNS5V1GSB6I2EKD0CYLB6EXHY,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=55",1.0
AZ1DD8SXABVY1,3JAOYWH7W9VSDB7AQJTXC15AMOZ9LA,Too many unset video ratings (32 > 24),1.0
A3EQPQ7EZFKB0R,33IZTU6J9SS5IKKYD8WC4Q5NKHMSX5,Too many unset video ratings (32 > 24) | The scores for golden videos are not consistent with the true scores.,1.0
A2ZM1X4W5OBSRW,3IKZ72A5CV7R2L185I94ZPVATDGNFV,Too many unset video ratings (32 > 24) | The scores for golden videos are not consistent with the true scores.,1.0
A1DI8ZA02L9GMS,3A1COHJ8OAMQDA5AU68LKDHSKXWH81,Too many unset video ratings (32 > 24),1.0
A1JFGI5XJYYR3A,3F1567XTONW348NNIO1TTN44VQAQ9V,"Too many unset video ratings (32 > 24) | all slider ratings are very similar, the slider moved to same range of scores.",1.0
ABKYJJD0ZK291,3MRNMEIQXWX4G1KR2ZYZYXO0DHNLDS,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=56",1.0
AI1U3OZBEKZEC,3B837J3LEFNLLOYM49QKF8JZKGJSRO,Too many unset video ratings (32 > 24) | The scores for golden videos are not consistent with the true scores.,1.0
A32YOD79DL837P,3A7Y0R2P3FFCJH18QENYCPE0P2AXJ4,Too many unset video ratings (32 > 24),1.0
A29ZTHY1OB4IC8,3C8HJ7UOQYLRPK78UTOBP2MS0DJMZ7,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=53",1.0
A1NN61ZAXV9FR0,3WT783CTQ28IY0S1BQEU0OADKU8CBP,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=53",1.0
A3RTHA7MUNT5Z6,30IQTZXKBBX5HB0M46DSUKZ4U9S0XO,"Too many unset video ratings (32 > 24) | Low standard deviation of slider ratings, the slider was not moved much. | The scores for repeated videos are not consistent (4 > 3)",1.0
AXKXVUS9RU633,35DR22AR64B1Y3ZJNTVBWIXBT5ZX33,Too many unset video ratings (33 > 24),1.0
A1LKBAYD3LY3AT,3AMW0RGHP4T3TYQ2JL59BJ9EWNONPS,Too many unset video ratings (32 > 24),1.0
A9LAADN925ZUR,3DR23U6WFW5XRK6W73BAQ6G27YQTEW,"Too many unset video ratings (32 > 24) | Low standard deviation of slider ratings, the slider was not moved much. | The scores for repeated videos are not consistent (5 > 3) | The scores for golden videos are not consistent with the true scores.",1.0
A2G95587OYD83D,3VE8AYVF9DO6ZEE4ZGKLHS5F5WMF8X,Too many unset video ratings (31 > 24),1.0
A333V86F5CXIE9,3ERMJ6L4EPJ85A12BYWSYITTRCK7MZ,Used phone or tablet | Too many unset video ratings (31 > 24),1.0
A5EJ10KD1ELO4,30H4UDGLUT9XBG527KQ9Y4KER6FPMD,Too many unset video ratings (31 > 24) | The scores for golden videos are not consistent with the true scores.,1.0
AV2I2QSNAXHCV,38JBBYETRF1DAZR6S2A2IY4AR974ET,Too many unset video ratings (32 > 24),1.0
AGLY8ZUKMZODY,3JRJSWSMR8CSS382SO5J8TC4D9IE3P,Too many unset video ratings (32 > 24),1.0
A33DFUC7Z6E5DH,3WZ36BJEWU7ZKHUCXC9KPYAH4B5BTQ,Too many unset video ratings (31 > 24),1.0
AZTAPCOD2Y512,374TNBHA92MI59VVQ0T9S4XV534QY2,Too many unset video ratings (32 > 24) | The scores for golden videos are not consistent with the true scores.,1.0
A2XJH3WC02RMXQ,3KB8R4ZV25YVFC86DCADQFVSICEBGS,"The scores for repeated videos are not consistent (4 > 3) | Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion with count=62",1.0
A13J2AT95G7OTF,3IXQG4FA3KPG02LYZ643YY959Q7B92,"Too many unset video ratings (31 > 24) | Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=Moderate level of immersion with count=56",1.0
AF1OK4YPM4S9P,3YDGXNSEPQLW1YHFFZO2QO8OFSP84L,Too many unset video ratings (32 > 24) | The scores for golden videos are not consistent with the true scores.,1.0
A1W06GIYOJMSAK,3QECW5O0L8SXV1D3W2I7MCAPX555TO,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion with count=68",1.0
A2P8V9PAWGNXVM,386PBUZZY6OHJNKJCVKA1VJDHPEJL9,Too many unset video ratings (31 > 24),1.0
A293FPBBTTTK1K,3ZY8KE4ITAU11F0QLP6PL5T1MIRQV9,Did not wear lens | Too many unset video ratings (32 > 24),1.0
A2GPQMBH0QNJ0J,3WSELTNVSUTU17PKRY9OUNQBLG3ATM,"Too many unset video ratings (32 > 24) | Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=Low level of immersion with count=69",1.0
