video_name,total_ratings_count,valid_ratings_count,unset_count,final_rate1,final_rate2,final_rate3,final_rate4,final_rate5,final_rate6,final_rate7,final_rate8,final_rate9,final_rate10,final_rate11,final_rate12,final_rate13,final_rate14,final_rate15,final_rate16,final_rate17,final_rate18,final_rate19,final_rate20,final_rate21,final_rate22,final_rate23,final_rate24,final_rate25,final_rate26,final_rate27,final_rate28,final_rate29,final_rate30,final_rate31,final_rate32,final_rate33,final_rate34,final_rate35,final_rate36,final_rate37,final_rate38,final_rate39,final_rate40,final_rate41
amt_gaming_vqa_dataset/Genshinimpact_2,41,39,2,82,67,87,100,82,100,93,79,68,100,74,98,81,78,80,70,35,78,74,82,96,84,89,66,75,71,81,86,91,unset,unset,89,68,57,72,69,93,87,91,79,87
amt_gaming_vqa_dataset/Daysgone_2_1080p_5000k_av1,41,40,1,97,82,78,86,unset,59,65,50,78,50,98,47,81,67,76,50,84,61,61,81,91,78,86,82,67,47,75,69,90,70,50,93,72,71,52,87,38,89,88,95,42
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_10000k_hevcnvenc,41,38,3,88,unset,85,100,68,73,4,73,73,83,100,100,83,83,91,71,3,67,4,83,91,88,94,71,39,72,87,61,89,unset,43,87,unset,66,63,79,81,86,86,84,86
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_1500k_hevcnvenc,41,40,1,49,unset,7,32,33,28,0,50,66,21,50,100,73,32,69,52,3,46,0,85,53,60,49,31,44,74,66,48,53,91,52,47,67,62,48,58,39,45,10,38,61
amt_gaming_vqa_dataset/Genshinimpact_2_2160p_6000k_hevcnvenc,41,40,1,60,unset,75,100,71,74,0,71,82,96,95,100,72,86,94,72,3,67,1,73,80,84,91,71,63,70,69,77,93,100,42,88,100,63,53,78,89,86,86,91,87
amt_gaming_vqa_dataset/Genshinimpact_2_480p_800k_hevcnvenc,41,41,0,29,7,74,19,19,15,2,1,3,41,16,100,71,0,40,8,1,19,0,90,44,69,17,17,35,29,68,10,16,54,39,40,70,60,1,45,0,31,9,31,26
amt_gaming_vqa_dataset/Genshinimpact_2_720p_1500k_hevcnvenc,41,41,0,57,22,31,15,54,6,2,51,57,84,68,100,80,63,78,70,3,35,0,79,55,69,5,53,36,51,70,34,31,53,54,48,94,61,29,62,91,74,25,74,53
amt_gaming_vqa_dataset/Genshinimpact_2_720p_3500k_hevcnvenc,41,41,0,43,74,59,100,68,47,39,70,69,100,100,100,78,84,78,72,3,61,0,79,89,88,71,78,44,75,69,61,83,100,52,71,88,73,53,65,77,84,69,73,72
amt_gaming_vqa_dataset/Genshinimpact_2_720p_600k_hevcnvenc,41,40,1,39,1,13,0,12,0,0,0,unset,0,12,100,72,0,8,7,4,25,10,83,14,50,22,8,11,5,70,10,12,9,52,29,50,68,23,13,10,26,15,8,43
amt_gaming_vqa_dataset/Daysgone_2,41,39,2,92,65,100,89,80,71,92,51,73,85,91,47,87,72,91,50,26,65,87,75,100,77,78,59,65,52,79,82,77,86,unset,94,unset,70,48,73,36,69,86,95,75
amt_gaming_vqa_dataset/Daysgone_2_1080p_1500k_av1,41,41,0,63,73,63,50,78,71,75,50,78,67,88,76,92,72,81,48,81,38,61,76,69,82,73,72,54,50,82,63,65,97,37,87,100,66,52,68,66,67,83,17,75
amt_gaming_vqa_dataset/Daysgone_2_1080p_500k_av1,41,41,0,39,29,24,24,19,22,50,30,22,79,43,47,77,19,50,50,46,18,44,79,53,41,35,18,38,50,70,25,35,71,44,36,28,63,10,67,64,41,10,33,49
amt_gaming_vqa_dataset/Hogwartslegacy_2_720p_3500k_hevcnvenc,41,41,0,47,73,81,54,79,54,0,50,62,49,72,61,80,66,52,60,3,47,0,79,75,69,78,36,37,70,82,53,71,70,49,86,83,69,37,79,55,75,68,36,58
amt_gaming_vqa_dataset/Daysgone_2_2160p_10000k_av1,41,40,1,96,76,100,66,73,72,67,70,72,60,78,41,72,78,52,53,38,67,69,86,87,88,79,51,39,51,81,71,81,100,unset,99,94,61,56,92,73,69,87,85,70
amt_gaming_vqa_dataset/Daysgone_2_2160p_1000k_av1,41,41,0,63,64,22,51,64,31,54,50,42,60,49,48,91,64,50,49,55,26,61,79,65,78,51,67,57,48,69,55,66,55,47,49,71,69,43,85,78,49,50,64,54
amt_gaming_vqa_dataset/Daysgone_2_2160p_5000k_av1,41,41,0,81,68,100,82,87,80,90,47,77,67,80,50,91,74,87,51,59,58,70,81,60,69,69,68,63,51,73,75,80,79,36,92,66,65,49,97,71,82,87,78,65
amt_gaming_vqa_dataset/Daysgone_2_480p_1000k_av1,41,41,0,42,63,35,41,79,53,69,29,70,70,72,45,83,54,76,39,39,35,56,77,68,50,64,49,47,45,72,43,65,52,65,88,87,63,29,45,54,67,40,72,51
amt_gaming_vqa_dataset/Daysgone_2_720p_1300k_av1,41,41,0,69,65,55,67,81,50,58,50,78,95,52,48,73,69,78,45,64,38,69,85,75,78,61,59,48,51,89,54,64,95,41,67,80,68,28,65,67,81,76,74,70
amt_gaming_vqa_dataset/Daysgone_2_720p_3000k_av1,41,41,0,44,81,87,69,80,71,65,43,68,100,78,47,74,68,70,51,49,50,54,88,63,69,63,71,56,50,74,70,75,66,50,87,65,60,52,81,60,58,80,65,72
amt_gaming_vqa_dataset/Daysgone_2_720p_500k_av1,41,41,0,46,73,30,26,22,33,56,29,13,51,31,38,85,75,73,28,50,20,52,81,50,59,41,9,38,50,78,26,33,93,42,35,58,71,3,51,50,36,14,33,41
amt_gaming_vqa_dataset/Daysgone_2_1080p_10000k_h264nvenc,41,40,1,59,77,100,74,68,73,78,50,71,88,95,72,72,64,83,50,50,55,70,79,87,78,88,72,58,50,79,74,82,74,unset,92,72,63,45,59,47,76,87,59,86
amt_gaming_vqa_dataset/Daysgone_2_1080p_2300k_h264nvenc,41,41,0,46,67,50,15,7,7,52,50,22,50,83,45,92,80,79,71,53,0,50,83,71,50,39,20,40,44,72,43,34,76,75,45,56,61,24,65,51,32,9,55,51
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_800k_hevcnvenc,41,41,0,20,3,0,9,16,0,0,9,22,18,0,100,71,18,25,29,4,17,54,60,38,31,17,32,26,28,77,19,32,0,46,33,12,68,17,31,3,14,10,0,50
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_6000k_hevcnvenc,41,41,0,52,76,96,67,67,76,0,71,84,89,100,100,71,84,82,74,4,57,0,56,93,88,66,52,58,71,70,84,75,65,67,87,100,46,53,78,80,77,79,93,75
amt_gaming_vqa_dataset/Genshinimpact_2_1080p_2000k_hevcnvenc,41,41,0,52,65,41,24,65,32,0,51,69,78,52,99,70,74,95,50,3,56,0,71,74,78,46,36,39,71,72,65,64,66,74,49,96,64,35,83,74,58,29,70,46
