WorkerId,AssignmentId,Reasons,Rejections
ABKYJJD0ZK291,3MRNMEIQXWX4G1KR2ZYZYXO0DHNLDS,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion with count=56",1.0
A1RQLE4ZMTU22A,3K2755HG6JUIG9AVGOV13KJGGSZFDT,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion",1.0
A3DJ0UVMQRZ32R,3KAKFY4PHLT488AOO7VAT8AW59Q3I2,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion",1.0
A2NSE2W0XW5TE0,3S06PH7KTIVRQUGN9PGGEIFMGVGD1H,Too many unset video ratings (21 > 18),1.0
A16EGD2ITJKO4V,3PWWM24LIJPMYK2SBL5EX9BQWZI28F,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=Moderate level of immersion",1.0
A2YKOX0MM6Q0PE,3Y54SXRO2CCEGG3IX3QFUO25T3TUTL,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion",1.0
A13QHI6P2C910K,3UXUOQ9OL5O739SDEV6NPRYTYB1A7L/3UXUOQ9OL5O739SDEV6NPRYTYB1A7L,"Too many unset video ratings (30 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A5EJ10KD1ELO4,30H4UDGLUT9XBG527KQ9Y4KER6FPMD/30H4UDGLUT9XBG527KQ9Y4KER6FPMD,"Too many unset video ratings (31 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A2S834OHCORO1W,33CKWXB74ABXYZ0BTWWLDGEDRXV11V/33CKWXB74ABXYZ0BTWWLDGEDRXV11V,"Too many unset video ratings (30 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A1AXP3SCV8SPM,30BXRYBRQVO13B1SS9ORYTKE4ZXHW6/30BXRYBRQVO13B1SS9ORYTKE4ZXHW6,"Too many unset video ratings (30 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A2P8V9PAWGNXVM,35GCEFQ6JWFQ3YZYOBJWT3DM2UHZ31/35GCEFQ6JWFQ3YZYOBJWT3DM2UHZ31,"Too many unset video ratings (30 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A2N6SUG2FS534I,3CCZ6YKWSYAEBM4PYWDQVC9D1OG59G/3CCZ6YKWSYAEBM4PYWDQVC9D1OG59G,"Too many unset video ratings (30 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A34Z9LMI089LMT,3STRJBFXPNI0DKY63PMDO1T7SM6TKJ/3STRJBFXPNI0DKY63PMDO1T7SM6TKJ,"Too many unset video ratings (31 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A3H3Z5V2V1461R,33PPUNGG4ZWIM0K0Z1KSB1G288IZRQ/33PPUNGG4ZWIM0K0Z1KSB1G288IZRQ,"Too many unset video ratings (31 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
AXZJKFM3BSX5Y,3YHH42UU626AHHJXQNA4JQ4HJWXL0Q/3YHH42UU626AHHJXQNA4JQ4HJWXL0Q,"Too many unset video ratings (33 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A1RTMB1V9GK7HM,3FUI0JHJQOPPI5S534ONP287NZJ339/3FUI0JHJQOPPI5S534ONP287NZJ339,"Too many unset video ratings (30 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A140CEAA0194YY,3MMN5BL1XQVQ4R0F9MT2L1HDMCZ3MV/3MMN5BL1XQVQ4R0F9MT2L1HDMCZ3MV,"Too many unset video ratings (32 > 18)Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
