WorkerId,Value
AD9QQRANGJBO1,0
A1NN61ZAXV9FR0,0
A1G8N8ASI40157,0
A13MAWPV4T44I2,0
A1RQLE4ZMTU22A,0
A13GBA16BNTN1A,0
AG6OSVX8E7KS5,0
A1HCG3H9LC6ZPQ,0
A2MV1VT0WIL4QU,0
A16EGD2ITJKO4V,0
A1WKUNC2NQCX5J,0
ABVPW8753ZBJO,0
A2P8V9PAWGNXVM,0
ACHM2SO6R1SPZ,0
A36HN50WA7RGAZ,0
A2C1Z52F4B0CG1,0
AIC2D8A9UQO8S,0
A1DVKS3R9SLQ1H,0
A8F6JFG0WSELT,0
AM0JKZVOEOTMA,0
A3DS9DP2JE8I4Z,0
A2K0L9M1ZZO5C9,0
A2J237J8KM3OCS,0
A1XSBLCCC1OWQ1,0
A2XJH3WC02RMXQ,0
A1Q7VWUBIJOK17,0
A1EQ8UXKOUDYT4,0
AR6H3B01WJ1FQ,0
A1UK8S8R5QYL6D,0
A3VO62XB3T2TLB,0
A3KGCURZJ02L3,0
