WorkerId,Value
A3V3F4X6GH6VPV,0
A1X0K1GC85ROW9,0
AKH8KUW6I3COL,0
A16KWRV7HCOR92,0
A2OTMALDJLAS7,0
AWR8O625EL9X9,0
A333V86F5CXIE9,0
AD0K7HC2P3OAA,0
A10FCQ7R6OGXF8,0
A3D2P33SYYDMD,0
A3L9IQY7JMIZ85,0
AYIQ5FWAKFHA0,0
A3IYWGIWOCNTZZ,0
A3DJ0UVMQRZ32R,0
AFFXVHHBUWW4D,0
A1LLKRWUMCKJFP,0
A1ZALFX17G0DV9,0
AW338AT1TPG6H,0
A3WJU5XK5O1VP,0
A14VB364MMVGC3,0
A2A81MBSJDI1MI,0
A2UHPZ0D859HJN,0
AK4947CIG17B5,0
A13XXMDHOULEZ7,0
AILRY9ICTXN4B,0
A3AA37NT4C4P20,0
A3NMQ3019X6YE0,0
AAWX7QFQUNM6D,0
AGLY8ZUKMZODY,0
ASEIRRACBY1EY,0
A2RAXDXAJ13EYX,0
A1LGUAHF19054E,0
AF1OK4YPM4S9P,0
AQPFTUIJ0PW2N,0
A3EQPQ7EZFKB0R,0
A19JFVFPZLO013,0
A1DWSHGZGK8X0K,0
