WorkerId,Value
A1689LPUF6HS1A,0
A2SKY317RZ3NCS,0
A1DI8ZA02L9GMS,0
AWR8O625EL9X9,0
A2ZM1X4W5OBSRW,0
A2GPQMBH0QNJ0J,0
A1ZL17KIP85OLV,0
AF1OK4YPM4S9P,0
A1ZGWMA6BBM3CU,0
AD9QQRANGJBO1,0
A3EQPQ7EZFKB0R,0
A1JFGI5XJYYR3A,0
A3TD836U3Z1J2B,0
A2H1UFKV8FSTV2,0
A1H8ESOKEFTFMQ,0
A1JDPMVFB8HNMH,0
A1GQKCTY2N75DH,0
A293FPBBTTTK1K,0
A19NGUFGC7KIGW,0
A2P8V9PAWGNXVM,0
A266AOECCJKT16,0
A1O9PMTIIVGDEW,0
A13J2AT95G7OTF,0
A1L5MD62BMOXFK,0
A2XB75IN5BADG5,0
A34D1LAUUQZCRT,0
A1PLBQ3LANDLOE,0
A3D2P33SYYDMD,0
A3H3Z5V2V1461R,0
A1QO9CJ6KFDWQJ,0
AFRA8WYVL1DJ7,0
A2I61I62R2XCST,0
A1KLLYT0ITXDK4,0
A1477E54Q7AA4J,0
