video_name,most_common_clarity,most_common_artifacts,most_common_immersion,highly_clear_count,moderately_clear_count,minimally_clear_count,no_artifacts_count,minor_artifacts_count,severe_artifacts_count,high_immersion_count,moderate_immersion_count,low_immersion_count
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_18-18,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,4,25,3,4,23,1,4,25
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_18-18_480p_1000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,1,29,1,4,26,1,2,28
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_18-18_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,2,27,3,3,24,0,3,27
amt_gaming_vqa_dataset/0ucrLD3HRD4_StarCraft_18-18_480p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,0,3,28,2,3,26,1,2,28
amt_gaming_vqa_dataset/1D9805Q-9dw_SonicDash_0-10_480p_1000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,12,14,5,11,14,6,11,14,6
amt_gaming_vqa_dataset/1D9805Q-9dw_SonicDash_0-10_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,9,20,4,7,20,2,11,18
amt_gaming_vqa_dataset/1D9805Q-9dw_SonicDash_0-10_480p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,17,8,5,19,7,5,18,8
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_6-17,Highly Clear,No visible artifacts,High level of immersion,14,14,2,13,12,5,14,13,3
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_6-17_720p_1000k_h264_nvenc,Moderately Clear,Severe Artifacts Present,Low level of immersion,5,15,11,4,11,16,7,12,12
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_6-17_720p_1300k_av1,Highly Clear,Minor Artifacts Present,Moderate level of immersion,15,12,4,10,14,7,12,16,3
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_6-17_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,10,19,2,11,16,4,11,17,3
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_6-17_720p_2500k_h264_nvenc,Highly Clear,Minor Artifacts Present,Moderate level of immersion,15,14,2,11,15,5,13,17,1
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_6-17_720p_3000k_av1,Highly Clear,No visible artifacts,High level of immersion,16,14,1,15,14,2,15,14,2
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_6-17_720p_3500k_hevc_nvenc,Highly Clear,Minor Artifacts Present,Moderate level of immersion,15,14,2,11,15,5,13,15,3
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_6-17_720p_5000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,13,15,2,10,17,3,12,16,2
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_6-17_720p_500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,18,7,4,19,8,6,18,7
amt_gaming_vqa_dataset/3lmeJLsXALE_Minecraft_6-17_720p_600k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,4,16,11,4,15,12,5,17,9
amt_gaming_vqa_dataset/5U7bgvmEHBU_CallofDutyMobile_0-14_720p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,4,26,2,4,25,0,6,25
amt_gaming_vqa_dataset/5U7bgvmEHBU_CallofDutyMobile_0-14_720p_1300k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,15,10,8,14,9,8,14,9
amt_gaming_vqa_dataset/5U7bgvmEHBU_CallofDutyMobile_0-14_720p_1500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,6,17,8,6,18,7,5,19,7
amt_gaming_vqa_dataset/5U7bgvmEHBU_CallofDutyMobile_0-14_720p_2500k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,14,9,6,15,10,7,14,10
amt_gaming_vqa_dataset/5U7bgvmEHBU_CallofDutyMobile_0-14_720p_3000k_av1,Highly Clear,Minor Artifacts Present,Moderate level of immersion,15,14,2,13,16,2,12,15,4
amt_gaming_vqa_dataset/5U7bgvmEHBU_CallofDutyMobile_0-14_720p_3500k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,High level of immersion,14,15,2,14,15,2,16,12,3
amt_gaming_vqa_dataset/5U7bgvmEHBU_CallofDutyMobile_0-14_720p_5000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,11,15,4,9,17,4,10,16,4
amt_gaming_vqa_dataset/5U7bgvmEHBU_CallofDutyMobile_0-14_720p_500k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,6,10,15,3,13,15,4,11,16
amt_gaming_vqa_dataset/5U7bgvmEHBU_CallofDutyMobile_0-14_720p_600k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,6,6,19,3,10,18,6,9,16
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_14-06,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,4,15,11,4,15,11,3,16,11
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_14-06_480p_1000k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,9,15,7,7,15,9,10,15,6
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_14-06_480p_1000k_h264_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,7,18,6,5,18,8,4,21,6
amt_gaming_vqa_dataset/9oiLnlNxG-A_GarrysMod_14-06_480p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,8,15,8,3,18,10,5,17,9
amt_gaming_vqa_dataset/L_15gc5EV8I_FIFA_29-34,Minimally Clear,Severe Artifacts Present,Low level of immersion,1,3,26,2,4,24,1,5,24
amt_gaming_vqa_dataset/_seGSJWMHSk_EuroTruckSimulator2_2-13,Minimally Clear,Minor Artifacts Present,Moderate level of immersion,2,11,17,0,16,14,0,16,14
amt_gaming_vqa_dataset/_seGSJWMHSk_EuroTruckSimulator2_2-13_480p_1000k_av1,Minimally Clear,Severe Artifacts Present,Low level of immersion,2,12,17,4,12,15,2,13,16
amt_gaming_vqa_dataset/_seGSJWMHSk_EuroTruckSimulator2_2-13_480p_1000k_h264_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,6,10,15,5,11,15,4,13,14
amt_gaming_vqa_dataset/_seGSJWMHSk_EuroTruckSimulator2_2-13_480p_800k_hevc_nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,11,17,1,12,18,2,12,17
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_3-20,Highly Clear,No visible artifacts,High level of immersion,22,6,2,20,7,3,20,8,2
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_3-20_1080p_10000k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,21,9,1,22,5,4,22,6,3
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_3-20_1080p_1500k_av1,Highly Clear,No visible artifacts,High level of immersion,17,12,2,16,14,1,15,15,1
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_3-20_1080p_2000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,22,8,1,18,9,4,21,9,1
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_3-20_1080p_2300k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,23,7,1,18,10,3,20,10,1
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_3-20_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,25,4,2,22,6,3,24,5,2
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_3-20_1080p_500k_av1,Highly Clear,No visible artifacts,High level of immersion,15,14,2,16,13,2,15,14,2
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_3-20_1080p_5300k_h264_nvenc,Highly Clear,No visible artifacts,High level of immersion,22,8,1,20,9,2,20,10,1
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_3-20_1080p_6000k_hevc_nvenc,Highly Clear,No visible artifacts,High level of immersion,22,6,2,17,10,3,21,7,2
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_3-20_1080p_800k_hevc_nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,10,15,6,9,13,9,10,14,7
amt_gaming_vqa_dataset/npHnaTnSmwg_CitiesSkylines_6-50,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,5,16,9,3,18,9,6,15,9
amt_gaming_vqa_dataset/npHnaTnSmwg_CitiesSkylines_6-50_480p_1000k_av1,Minimally Clear,Minor Artifacts Present,Low level of immersion,3,12,16,5,14,12,3,13,15
amt_gaming_vqa_dataset/npHnaTnSmwg_CitiesSkylines_6-50_480p_1000k_h264_nvenc,Moderately Clear,Severe Artifacts Present,Moderate level of immersion,3,14,14,2,14,15,2,16,13
