video_name,most_common_clarity,most_common_artifacts,most_common_immersion,highly_clear_count,moderately_clear_count,minimally_clear_count,no_artifacts_count,minor_artifacts_count,severe_artifacts_count,high_immersion_count,moderate_immersion_count,low_immersion_count
amt_gaming_vqa_dataset/Amerfightingopenbeta,Highly Clear,No visible artifacts,High level of immersion,26,11,4,23,16,2,24,14,3
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_10000k_h264nvenc,Highly Clear,No visible artifacts,High level of immersion,32,7,3,29,9,4,28,10,4
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_1500k_av1,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,17,20,5,17,24,1,16,24,2
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_2000k_hevcnvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,19,7,15,22,5,13,25,4
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_2300k_h264nvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,6,16,20,5,17,20,5,15,22
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_5000k_av1,Highly Clear,No visible artifacts,High level of immersion,24,16,2,26,14,2,26,14,2
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_500k_av1,Moderately Clear,Severe Artifacts Present,Moderate level of immersion,3,19,19,6,16,19,3,21,17
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_5300k_h264nvenc,Moderately Clear,Minor Artifacts Present,Moderate level of immersion,16,22,4,19,21,2,16,23,3
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_6000k_hevcnvenc,Highly Clear,No visible artifacts,High level of immersion,28,11,3,25,14,3,22,17,3
amt_gaming_vqa_dataset/Amerfightingopenbeta_1080p_800k_hevcnvenc,Minimally Clear,Severe Artifacts Present,Low level of immersion,3,16,23,6,14,22,2,17,23
amt_gaming_vqa_dataset/Amerfightingopenbeta_2160p_10000k_av1,Highly Clear,No visible artifacts,High level of immersion,27,11,4,25,15,2,26,11,5
