video_name,total_ratings_count,valid_ratings_count,unset_count,final_rate1,final_rate2,final_rate3,final_rate4,final_rate5,final_rate6,final_rate7,final_rate8,final_rate9,final_rate10,final_rate11,final_rate12,final_rate13,final_rate14,final_rate15,final_rate16,final_rate17,final_rate18,final_rate19,final_rate20,final_rate21,final_rate22,final_rate23,final_rate24,final_rate25,final_rate26,final_rate27,final_rate28,final_rate29,final_rate30,final_rate31,final_rate32,final_rate33,final_rate34,final_rate35,final_rate36,final_rate37,final_rate38,final_rate39,final_rate40,final_rate41,final_rate42,final_rate43,final_rate44
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_1500k_av1,44,44,0,58,76,77,71,54,73,77,71,69,82,73,78,87,80,82,70,61,51,71,90,32,53,67,84,85,86,35,42,10,70,89,70,72,76,85,85,74,45,73,75,70,69,85,91
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_10000k_av1,44,43,1,46,49,29,77,80,100,91,78,71,86,71,70,87,72,92,80,78,97,75,84,87,79,83,90,73,98,92,88,72,80,88,6,94,unset,70,86,96,62,82,83,43,98,82,93
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_2160p_6000k_hevcnvenc,44,39,5,66,50,20,100,78,88,63,0,52,26,52,67,unset,unset,87,67,1,90,66,75,59,78,93,unset,18,99,68,78,78,84,unset,87,90,100,77,88,64,60,81,86,64,68,unset,72
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_480p_800k_hevcnvenc,44,44,0,58,28,71,64,8,50,69,0,28,29,49,69,30,32,41,58,0,60,64,70,87,35,48,24,78,37,8,11,9,43,59,60,30,100,64,50,54,15,48,52,72,47,45,59
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_1500k_hevcnvenc,44,44,0,58,31,72,75,67,72,57,2,58,58,52,50,86,62,59,65,0,70,63,86,59,42,47,60,21,70,44,31,55,47,49,88,71,78,67,47,80,42,73,77,66,75,70,57
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_3500k_hevcnvenc,44,44,0,68,72,29,79,68,78,71,5,56,82,50,46,92,75,73,69,0,96,75,57,69,63,37,68,17,62,57,73,79,77,81,77,65,77,92,77,52,27,66,86,76,78,73,94
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_720p_600k_hevcnvenc,44,44,0,44,52,33,38,16,8,68,0,29,31,49,66,31,26,41,55,0,7,66,60,29,11,18,13,24,4,17,9,8,34,23,58,26,72,31,37,12,25,31,21,79,22,37,45
amt_gaming_vqa_dataset/ZenlessZoneZero,44,41,3,51,24,70,100,75,92,93,91,71,73,71,52,22,93,87,87,78,unset,64,61,unset,67,91,89,80,95,90,87,79,76,unset,4,93,85,85,94,91,55,100,88,70,95,75,87
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_1500k_av1,44,44,0,56,72,52,80,79,62,59,73,56,85,94,58,69,77,78,64,69,50,66,63,41,51,69,67,77,63,77,66,41,78,90,59,63,34,43,62,20,56,32,79,60,84,68,57
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_5000k_av1,44,44,0,51,50,75,100,82,100,94,81,60,66,70,74,100,80,92,84,72,95,64,83,92,64,91,92,81,85,87,89,75,74,82,78,65,89,89,93,100,61,89,86,75,95,88,94
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_500k_av1,44,44,0,61,81,75,10,20,21,71,35,27,8,50,71,21,33,32,49,26,7,64,70,3,27,12,10,79,35,24,12,21,28,22,22,25,19,17,41,1,48,9,31,76,36,25,37
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_1000k_av1,44,44,0,64,51,51,50,62,68,67,70,50,34,72,66,41,62,64,57,73,29,75,78,69,53,31,32,78,42,50,30,19,58,51,13,39,74,47,74,24,52,31,40,65,46,45,41
amt_gaming_vqa_dataset/Kenabridgeofspirits_1_1080p_800k_hevcnvenc,44,44,0,58,50,84,60,9,18,69,0,49,18,51,86,41,22,50,61,3,18,77,61,13,15,36,31,20,5,7,9,12,37,19,60,19,19,40,50,23,26,24,13,75,47,34,41
