video_name,total_ratings_count,valid_ratings_count,unset_count,final_rate1,final_rate2,final_rate3,final_rate4,final_rate5,final_rate6,final_rate7,final_rate8,final_rate9,final_rate10,final_rate11,final_rate12,final_rate13,final_rate14,final_rate15,final_rate16,final_rate17,final_rate18,final_rate19,final_rate20,final_rate21,final_rate22,final_rate23,final_rate24,final_rate25,final_rate26,final_rate27,final_rate28,final_rate29,final_rate30,final_rate31,final_rate32,final_rate33,final_rate34,final_rate35,final_rate36,final_rate37,final_rate38,final_rate39,final_rate40,final_rate41,final_rate42,final_rate43
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_5000k_h264nvenc,43,41,2,55,80,0,9,54,0,10,86,88,38,10,0,unset,83,69,23,10,unset,12,28,19,19,0,3,77,17,4,11,11,19,13,39,31,0,67,21,31,9,12,29,16,39,14
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_10000k_av1,43,40,3,64,81,74,71,50,64,79,80,55,80,86,100,unset,72,82,63,83,58,73,71,67,82,83,93,78,67,40,66,89,50,88,86,78,89,unset,76,51,81,68,unset,89,73,7
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_6000k_hevcnvenc,43,41,2,68,73,79,74,69,80,66,83,15,46,88,63,60,40,65,74,unset,unset,50,72,73,56,100,71,58,65,86,49,72,50,87,95,78,70,65,56,67,79,67,83,77,72,43
amt_gaming_vqa_dataset/Ghostoftsushima_2_480p_800k_hevcnvenc,43,43,0,65,21,20,46,59,0,53,85,59,0,9,32,53,52,64,21,10,50,21,49,21,7,51,30,53,23,26,22,9,37,38,80,12,27,63,16,17,37,25,36,27,30,51
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_1500k_hevcnvenc,43,43,0,50,30,34,69,50,37,35,83,46,7,49,58,68,62,67,30,16,14,41,70,55,30,62,64,59,40,50,20,14,50,41,87,58,77,63,71,70,36,23,88,69,50,19
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_3500k_hevcnvenc,43,43,0,48,21,70,80,56,73,51,80,60,4,70,64,75,57,66,72,70,63,71,59,66,75,61,53,77,50,75,36,53,62,73,69,68,96,80,69,67,76,52,82,78,78,62
amt_gaming_vqa_dataset/Ghostoftsushima_2_720p_600k_hevcnvenc,43,43,0,58,16,22,15,50,0,79,87,64,0,12,0,59,63,54,9,8,19,22,30,23,2,0,18,61,21,29,16,9,29,13,33,23,0,58,26,28,11,18,40,36,3,32
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy,43,42,1,63,85,74,73,50,87,51,80,69,76,87,90,unset,59,63,64,88,86,73,72,45,100,81,74,67,91,83,61,90,8,92,58,90,75,64,83,71,87,63,90,92,84,28
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_1500k_av1,43,43,0,49,81,56,35,28,22,59,78,58,60,50,30,59,76,64,34,14,24,78,49,24,46,49,22,75,29,54,29,61,61,66,84,29,51,55,29,100,89,26,85,45,40,29
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_5000k_av1,43,43,0,59,82,70,86,50,64,73,78,48,72,77,91,74,47,64,74,88,85,71,51,60,71,87,62,75,65,30,54,74,69,68,86,78,59,59,66,75,58,61,74,65,51,56
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_500k_av1,43,42,1,61,12,7,46,21,0,15,80,20,49,12,0,67,70,72,22,unset,13,14,7,27,0,11,1,75,16,41,6,9,29,8,48,21,33,41,9,21,8,19,11,24,0,20
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_1000k_av1,43,43,0,66,75,23,47,31,25,39,79,55,55,50,45,63,68,75,46,11,50,31,29,27,22,50,29,71,47,12,27,12,39,92,56,32,31,56,30,89,31,26,33,29,0,40
amt_gaming_vqa_dataset/Ghostoftsushima_2_2160p_10000k_hevcnvenc,43,39,4,48,48,67,73,69,60,54,53,60,0,87,64,unset,55,65,68,unset,unset,70,72,87,97,83,91,60,71,57,65,66,50,64,67,88,83,46,62,71,unset,61,88,84,66,60
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_2160p_5000k_av1,43,43,0,52,82,24,52,50,56,58,84,50,78,85,68,63,69,55,64,78,77,51,58,59,59,60,45,79,62,33,53,61,88,68,64,80,70,42,71,71,37,62,49,94,46,11
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_480p_1000k_av1,43,43,0,54,81,21,51,32,8,11,83,64,45,12,64,65,57,66,30,8,16,14,29,30,1,42,25,70,21,16,11,11,38,27,73,21,24,44,25,59,0,7,60,41,56,17
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_1300k_av1,43,43,0,73,74,33,51,71,33,59,84,58,71,28,51,63,74,64,58,10,44,53,41,12,10,53,19,73,19,40,25,10,41,45,89,46,48,67,29,60,26,24,40,54,24,29
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_3000k_av1,43,42,1,64,80,66,68,42,54,71,84,69,72,79,69,65,67,64,65,94,47,51,49,58,82,84,22,69,50,35,36,60,50,69,87,69,unset,46,77,90,34,34,31,64,69,91
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_720p_500k_av1,43,43,0,61,73,0,0,27,0,17,48,87,17,15,0,67,63,65,15,9,29,9,29,0,0,0,22,76,11,48,8,7,29,22,50,18,0,47,5,79,12,6,21,11,4,26
amt_gaming_vqa_dataset/Strangerofparadisefinalfantasy_1080p_10000k_h264nvenc,43,42,1,72,81,68,88,59,52,59,78,66,78,75,73,65,77,67,67,68,88,35,59,69,100,58,57,77,50,71,55,89,59,78,92,64,unset,59,64,38,53,35,74,85,35,23
