WorkerId,Value
A21PC6ZS98FGB5,0
A29NZ7VWC1JGU9,0
A3D2P33SYYDMD,0
A16KWRV7HCOR92,0
A14PLK0T7QT3ZG,0
AK4947CIG17B5,0
A1O9PMTIIVGDEW,0
A1RQLE4ZMTU22A,0
A19JFVFPZLO013,0
A3B2DRW8EM6YJP,0
A2XSHWY53BSMV2,0
A3S3WYVCVWW8IZ,0
AGXFBPHVB1UX,0
AW338AT1TPG6H,0
A2K0L9M1ZZO5C9,0
AAWX7QFQUNM6D,0
AYIQ5FWAKFHA0,0
A3L9IQY7JMIZ85,0
AGLY8ZUKMZODY,0
A34H5VDE6B62VN,0
A2DLHL9JJ9EPNA,0
A33DFUC7Z6E5DH,0
A385BM7R0Z59IN,0
A3FAGQU5JVU4HX,0
A31CXXCKECDLV1,0
A1QO9CJ6KFDWQJ,0
AF1OK4YPM4S9P,0
A1G8N8ASI40157,0
A1X0K1GC85ROW9,0
A1LLKRWUMCKJFP,0
A2ZM1X4W5OBSRW,0
A391SHXY5FIDY5,0
A3IYWGIWOCNTZZ,0
AGG7X24FWDMEN,0
A2R69Y9PYEUJ5G,0
A2G95587OYD83D,0
A2P8V9PAWGNXVM,0
A13MAWPV4T44I2,0
A2OTMALDJLAS7,0
A2A81MBSJDI1MI,0
AT9MEI9JKAQGV,0
A1ZALFX17G0DV9,0
A2FP41BSPG0Y4A,0
A33UXG9L5A5H7H,0
