WorkerId,AssignmentId,Reasons,Rejections
A3RTHA7MUNT5Z6,30IQTZXKBBX5HB0M46DSUKZ4U9S0XO,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser. | Low standard deviation of slider ratings, the slider was not moved much. | The scores for repeated videos are not consistent.",1.0
A1NN61ZAXV9FR0,3WT783CTQ28IY0S1BQEU0OADKU8CBP,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion",1.0
AVEV8X13Y4JSR,382M9COHF86CRXLL781KV224URRUEG,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion",1.0
A3ZYZ0YTTG195,3OS4RQUCS06P1CCB2S4V8UVGHG9BFQ,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",1.0
A1Q17AURTUSKIT,3MB8LZR5C6KCU7Q1UGKM2AJQ1FSLKV/3MB8LZR5C6KCU7Q1UGKM2AJQ1FSLKV,"Used phone or tablet | Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.Used phone or tablet | Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
AABZGLZ5QWCG0,31LM9EDVPCJ77NN4O80PENN2RLSJNW/31LM9EDVPCJ77NN4O80PENN2RLSJNW,"Used phone or tablet | Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser. | The scores for repeated videos are not consistent.Used phone or tablet | Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser. | The scores for repeated videos are not consistent.",2.0
A1W06GIYOJMSAK,3X31TUMD8ODAO64FM6E4XVNRS9S1L8/3X31TUMD8ODAO64FM6E4XVNRS9S1L8,"Too many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersionToo many videos rated with same pattern: Clarity=Highly Clear, Artifacts=No visible artifacts, Immersion=High level of immersion",2.0
A382IYPJDT9UV6,3EJPLAJKFD7P0HMG7DHU06P6FTG6ZU/3EJPLAJKFD7P0HMG7DHU06P6FTG6ZU,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A3QB50HW9PDXB9,3Y4W8Q93MQB7C6WLG305L6M284XVDB/3Y4W8Q93MQB7C6WLG305L6M284XVDB,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser. | The scores for golden videos are not consistent with the true scores.Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser. | The scores for golden videos are not consistent with the true scores.",2.0
ABVPW8753ZBJO,3R2PKQ87ONZ5UUIYUP0PP7J29GWIMM/3R2PKQ87ONZ5UUIYUP0PP7J29GWIMM,"Too many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersionToo many videos rated with same pattern: Clarity=Minimally Clear, Artifacts=Severe Artifacts Present, Immersion=Low level of immersion",2.0
ACI8PUCF5OPDC,3R6BYFZZQY3WEFFC7OWDXRM80R2XF6/3R6BYFZZQY3WEFFC7OWDXRM80R2XF6,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A1DW9207C44SRI,3H0W84IWCBTKB5T43E6FQRFKNAJERS/3H0W84IWCBTKB5T43E6FQRFKNAJERS,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersionToo many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion",2.0
A2ZG5ROB13SG36,3EO896NRBNM520SOL4M1NMTUH6XTJX/3EO896NRBNM520SOL4M1NMTUH6XTJX,The scores for repeated videos are not consistent. | The delays in video ratings are too high.The scores for repeated videos are not consistent. | The delays in video ratings are too high.,2.0
A32G4U1PTNH0Y9,39RP059MF8KV7M4SOF883KFPEAUBMS/3RU7GD8VQFK09BI7RHMVADJKN22PSC,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
AEXTZV2XLU0NW,3JPSL1DZ6JQW6UK0U2NCLOKJ1F9ANG/3OJSZ2ATEJNAX3GWJZF6HGI79N057T,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersionToo many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion",2.0
A2I61I62R2XCST,320DUZ38HYD1XV6I14NUO3E5Q9JJG1/320DUZ38HYD1XV6I14NUO3E5Q9JJG1,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",2.0
A1TRCGTBFJO7UQ,3Z7ISHFUIRMC4V540SESKKLXLLU8Z0/3Z7ISHFUIRMC4V540SESKKLXLLU8Z0,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersionToo many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion",2.0
AK1LS2LT9U0O0,3P4RDNWNEWXFTMCDRSNX9FRL5L8IJN/3P4RDNWNEWXFTMCDRSNX9FRL5L8IJN,"Too many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersionToo many videos rated with same pattern: Clarity=Moderately Clear, Artifacts=Minor Artifacts Present, Immersion=Moderate level of immersion",2.0
A36CQIFWEDEECU,34T446B1DR5HEDPRDAH5G7EUTQW0CC/3Z2R0DQ0K8537LCJOOREPJ7CB1J2EJ/3WI0P0II7SJFJZF47JVVK9XZNGRRDL,"Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.Too many unset video ratings, this could be due to not using latest version of the browser or not using the correct browser. Please use latest version of Chrome browser.",3.0
AG6OSVX8E7KS5,3JPSL1DZ6JQW6UK0U2NCLOKJ1ZYAN9/3N4BPTXIPZJFDXDV3UCNTXF9E7LKUQ/36NEMU28Y64NVP23J644QYSAOSOWM3/3JPSL1DZ6JQW6UK0U2NCLOKJ1ZYAN9/3N4BPTXIPZJFDXDV3UCNTXF9E7LKUQ/36NEMU28Y64NVP23J644QYSAOSOWM3,The scores for golden videos are not consistent with the true scores.The scores for golden videos are not consistent with the true scores.The scores for golden videos are not consistent with the true scores.The scores for golden videos are not consistent with the true scores.The scores for golden videos are not consistent with the true scores.The scores for golden videos are not consistent with the true scores.,6.0
