video_name,batch,video_index,mos,sos
amt_gaming_vqa_dataset/-0YyCVvKilw_IceAgeVillage_4-40,E,0.0,38.97689944430547,3.3607947021909506
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10,D,1.0,78.16674185804084,2.7763041766659007
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_10000k_h264_nvenc,D,2.0,73.39829066050281,2.7339402360649925
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_1500k_av1,D,3.0,72.23605458155058,2.6076794872984936
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_2000k_hevc_nvenc,D,4.0,63.169772993347856,3.155254188397629
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_2300k_h264_nvenc,D,5.0,23.196555975375748,2.7965477327968
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_5000k_av1,D,6.0,77.64676152664309,2.2136942778430084
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_500k_av1,D,7.0,45.25191643929798,3.3367203289719454
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_5300k_h264_nvenc,D,8.0,68.99617455384077,2.2432583542296483
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_6000k_hevc_nvenc,D,9.0,78.35323442253004,2.0121448480301938
amt_gaming_vqa_dataset/-7I-tL6gV3M_SubwaySurfers_0-10_1080p_800k_hevc_nvenc,D,10.0,39.20696423686992,3.4127098616631044
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30,D,11.0,72.57002252626832,4.476090615771918
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_10000k_h264_nvenc,D,12.0,77.69589610489797,3.053197254767593
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_1500k_av1,D,13.0,66.19562874280156,4.054534674940079
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_2000k_hevc_nvenc,D,14.0,65.25442134084022,3.903890798830504
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_2300k_h264_nvenc,D,15.0,54.24468144509191,3.732813760095197
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_5000k_av1,D,16.0,74.60445914783567,2.8448023122879667
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_500k_av1,D,17.0,34.65683326945764,3.7872566291197822
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_5300k_h264_nvenc,D,18.0,76.17603414662555,2.8572868137075487
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_6000k_hevc_nvenc,D,19.0,77.9883735880695,2.7870976080933607
amt_gaming_vqa_dataset/-gaIr67PWrA_StarCraft_2-30_1080p_800k_hevc_nvenc,D,20.0,28.45333371128567,4.201178361276498
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30,J,21.0,47.04242632890551,2.6865128399955345
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_1000k_h264_nvenc,J,22.0,30.761942392607253,2.477019527793196
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_1300k_av1,J,23.0,41.36727605761373,2.553271210326776
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_1500k_hevc_nvenc,J,24.0,46.243905887647735,2.719701996762792
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_2500k_h264_nvenc,J,25.0,40.76507523481269,2.7314071336711714
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_3000k_av1,J,26.0,46.26547442272166,3.238146755848334
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_3500k_hevc_nvenc,J,27.0,49.1634725409157,3.560471486656519
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_5000k_h264_nvenc,J,28.0,49.88246089977471,3.459073843170156
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_500k_av1,J,29.0,27.6769959469782,2.315757735956133
amt_gaming_vqa_dataset/-j1SG4iuCCU_GuildWars_1-30_720p_600k_hevc_nvenc,J,30.0,31.74285514546484,3.210905464396999
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03,G,31.0,51.51889233419967,2.494358924075805
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1000k_h264_nvenc,G,32.0,26.948934810516423,2.849225764092052
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1300k_av1,G,33.0,52.63650789323561,2.3445908216530937
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_1500k_hevc_nvenc,G,34.0,56.40877010721048,2.353827427408076
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_2500k_h264_nvenc,G,35.0,50.53967421766382,2.181954073271931
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_3000k_av1,G,36.0,57.35529939353241,2.681896450185074
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_3500k_hevc_nvenc,G,37.0,54.11379076724312,2.6633814720129902
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_5000k_h264_nvenc,G,38.0,53.74363310583039,2.7613908478482867
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_500k_av1,G,39.0,45.331989269397575,2.5896553817004664
amt_gaming_vqa_dataset/01hQ7XrHePU_FIFA_0-03_720p_600k_hevc_nvenc,G,40.0,32.906967446505,2.275455814509173
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00,G,41.0,73.58837861059177,3.9297724609446263
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_10000k_h264_nvenc,G,42.0,76.2553114952451,3.236339527180399
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_1500k_av1,G,43.0,70.72937303809884,2.885508298039223
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_2000k_hevc_nvenc,G,44.0,58.06096443904347,3.0884278707016914
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_2300k_h264_nvenc,G,45.0,18.47959721537494,2.742659562201504
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_5000k_av1,G,46.0,76.28984550149185,3.457088779412348
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_500k_av1,G,47.0,58.38086934794534,3.3299439125209283
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_5300k_h264_nvenc,G,48.0,49.29763378787975,4.0516106667863205
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_6000k_hevc_nvenc,G,49.0,76.84474767369193,2.7630264299307017
amt_gaming_vqa_dataset/0JehGz8WBEs_MarioKartTour_0-00_1080p_800k_hevc_nvenc,G,50.0,54.8111087417673,2.964975882370442
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18,K,51.0,54.74362116817397,2.151148336814654
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1000k_h264_nvenc,K,52.0,40.347528703133605,2.692732726891682
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1300k_av1,K,53.0,52.17726126718151,2.290837643330158
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_1500k_hevc_nvenc,K,54.0,49.703879110658114,2.512892397892512
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_2500k_h264_nvenc,K,55.0,49.59962849054433,2.3520926654370515
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_3000k_av1,K,56.0,55.08977871738557,2.7660467309718797
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_3500k_hevc_nvenc,K,57.0,57.74377667996845,2.8750379329358884
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_5000k_h264_nvenc,K,58.0,54.06645001460489,2.2328761954753573
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_500k_av1,K,59.0,35.48188264967193,2.7874479910296586
amt_gaming_vqa_dataset/0O6Ic4Q-VS8_WarRobots_1-18_720p_600k_hevc_nvenc,K,60.0,38.76662170373291,2.6798776760366376
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47,E,61.0,60.27899250016255,3.841278450402305
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_10000k_h264_nvenc,E,62.0,64.76136121750471,2.915979939078844
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_1500k_av1,E,63.0,64.46636138236057,3.321820271829612
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_2000k_hevc_nvenc,E,64.0,62.13788650116033,2.9124810373616574
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_2300k_h264_nvenc,E,65.0,64.75936358621058,2.612738814263189
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_5000k_av1,E,66.0,65.97283381013678,2.9749521982602314
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_500k_av1,E,67.0,50.82728249987901,3.275413188999776
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_5300k_h264_nvenc,E,68.0,64.3039440152583,3.102347235489393
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_6000k_hevc_nvenc,E,69.0,66.02604364470588,3.072859517318188
amt_gaming_vqa_dataset/0RKUDAMVtlY_WorldofTanks_1-47_1080p_800k_hevc_nvenc,E,70.0,56.63267252307928,4.058681285894376
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00,F,71.0,70.68116098084981,3.0514163879332448
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_1000k_h264_nvenc,F,72.0,18.15014188488548,2.303108037272585
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_1300k_av1,F,73.0,64.39080199995323,2.570817417936809
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_1500k_hevc_nvenc,F,74.0,62.59605506220528,2.7976364881045392
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_2500k_h264_nvenc,F,75.0,52.35065613965254,3.3728026844422816
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_3000k_av1,F,76.0,73.27419109828952,2.606870061251232
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_3500k_hevc_nvenc,F,77.0,68.48865782658466,2.560956936456806
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_5000k_h264_nvenc,F,78.0,71.28153628624602,2.263205112782241
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_500k_av1,F,79.0,55.06423791773592,3.0910896999699498
amt_gaming_vqa_dataset/0jJNLlJU-84_SubwaySurfers_0-00_720p_600k_hevc_nvenc,F,80.0,42.61508936012255,3.6592588348037194
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28,F,81.0,74.4037420219095,3.02921590964716
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_10000k_h264_nvenc,F,82.0,77.02444840835193,2.6583683229564934
amt_gaming_vqa_dataset/0oosqCBVaxY_StarCraft_28-28_1080p_1500k_av1,F,83.0,72.33195288446319,2.636998137661569
