video_name,average_rating,num_ratings,std_rating
amt_gaming_vqa_dataset/Ks0QFfm6pSk_SubwaySurfers_0-00_1080p_5000k_av1,72.44444444444444,45,13.438428406055946
amt_gaming_vqa_dataset/DragonballZkakrot_2160p_10000k_av1,70.27272727272727,44,17.411939002727717
amt_gaming_vqa_dataset/JakandDaxter_1080p_5000k_av1,70.10227272727273,44,17.21771667678335
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_8-00_1080p_2000k_hevc_nvenc,68.55172413793103,29,13.435250101997003
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_25000k_h264nvenc,68.4125,40,16.690149602385233
amt_gaming_vqa_dataset/Worldofwarships_2,68.23809523809524,42,16.348597615420402
amt_gaming_vqa_dataset/dbzhcXv9U9E_MarioKartTour_0-08_1080p_6000k_hevc_nvenc,67.51724137931035,29,16.895971137104667
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_2160p_10000k_av1,67.22093023255815,43,15.77910832714522
amt_gaming_vqa_dataset/auvhCmhrkho_WarRobots_7-33_1080p_5300k_h264_nvenc,66.88372093023256,43,17.037181367391025
amt_gaming_vqa_dataset/WWE2K24,66.76744186046511,43,17.353154273023794
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_10000k_h264nvenc,66.72093023255815,43,16.454412826359036
amt_gaming_vqa_dataset/y_6Cpi_nAfJV4_TheSims3_13-10_480p_1000k_h264_nvenc,66.67777777777778,45,14.736634455048696
amt_gaming_vqa_dataset/cFbJA_I2FX0_StardewValley_12-25_1080p_10000k_h264_nvenc,66.5,43,17.069965463650846
amt_gaming_vqa_dataset/Farcry6_2_720p_5000k_h264nvenc,66.45555555555555,45,15.714756767029948
amt_gaming_vqa_dataset/tWyYHwQEZMU_Minecraft_8-27_1080p_6000k_hevc_nvenc,66.42857142857143,28,15.871534653110833
amt_gaming_vqa_dataset/Assassiancreedvalhalla_1_2160p_25000k_h264nvenc,66.35555555555555,45,14.764304635099638
amt_gaming_vqa_dataset/ZenlessZoneZero_2160p_10000k_av1,66.3409090909091,44,16.173692418439302
amt_gaming_vqa_dataset/tWyYHwQEZMU_Minecraft_8-27_1080p_5000k_av1,66.27272727272727,44,17.453983182231497
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_8-00_1080p_1500k_av1,66.17777777777778,45,13.468545890149453
amt_gaming_vqa_dataset/lxGvk91jPbc_IceAgeVillage_9-43_1080p_10000k_h264_nvenc,66.13953488372093,43,17.747363243852543
amt_gaming_vqa_dataset/Kenabridgeofspirits_2_1080p_5000k_av1,66.04444444444445,45,14.839070883696124
amt_gaming_vqa_dataset/Astroysplayroom_1_2160p_5000k_av1,66.02272727272727,44,16.13189758939446
amt_gaming_vqa_dataset/Policesimulatorpatrolofficers_1_1080p_1500k_av1,65.94444444444444,45,15.072131096910917
amt_gaming_vqa_dataset/MLBtheshow_720p_3000k_av1,65.7,40,15.68948692596415
amt_gaming_vqa_dataset/Htvk-lYcfXs_Rust_0-00_1080p_6000k_hevc_nvenc,65.67241379310344,29,17.927668782267993
amt_gaming_vqa_dataset/CatQuestII_1080p_5000k_av1,65.64444444444445,45,16.491621516603924
amt_gaming_vqa_dataset/_D6-LFea-Tc_PUBGMobile_16-23_1080p_6000k_hevc_nvenc,65.58928571428571,28,13.219340249522782
amt_gaming_vqa_dataset/Kenabridgeofspirits_1,65.47619047619048,42,13.622002676409213
amt_gaming_vqa_dataset/MDkWLlirCMI_SuperMarioRun_0-38_480p_800k_hevc_nvenc,65.425,20,14.315441837400618
amt_gaming_vqa_dataset/skyrim_2_1080p_5000k_av1,65.41111111111111,45,14.84186604353782
amt_gaming_vqa_dataset/WWE2K24_1080p_6000k_hevcnvenc,65.38636363636364,44,17.952862406731725
amt_gaming_vqa_dataset/Astroysplayroom_2_2160p_10000k_av1,65.37777777777778,45,17.63618614464009
amt_gaming_vqa_dataset/ZenlessZoneZero_1080p_5000k_av1,65.36666666666666,45,15.29974582214431
amt_gaming_vqa_dataset/Fallout4_1_2160p_5000k_av1,65.31818181818181,44,17.51560697216359
amt_gaming_vqa_dataset/2FQ9qkN74MQ_FIFA_7-14_1080p_5000k_av1,65.3,45,17.41787077177409
amt_gaming_vqa_dataset/Faastpenguin_2_2160p_25000k_h264nvenc,65.29761904761905,42,18.90737432471456
amt_gaming_vqa_dataset/WWE2K24_2160p_10000k_av1,65.24418604651163,43,18.525084217560586
